doc_id,chunk_id,은행명,상품이름,조항,조항이름,sent_idx,sentence
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제1조:0,우리은행,예 금 거 래 기 본 약 관,제1조,(적용범위),0,"이 약관은 입출금이 자유로운 예금, 거치식예금 및 적립식예금 거래에 적용한다."
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제2조:0,우리은행,예 금 거 래 기 본 약 관,제2조,(실명거래),0,① 거래처는 실명으로 거래하여야 한다.
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제2조:0,우리은행,예 금 거 래 기 본 약 관,제2조,(실명거래),1,"② 은행은 거래처의 실명확인을 위하여 주민등록증․사업자등록증 등 실명확인증표 또 는 그밖에 필요한 서류의 제시나 제출을 요구할 수 있고, 거래처는 이에 따라야 한다."
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제3조:0,우리은행,예 금 거 래 기 본 약 관,제3조,(거래장소),0,거래처는 예금계좌를 개설한 영업점(이하 “개설점”이라 한다)에서 모든 예금거래를 한다.
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제3조:0,우리은행,예 금 거 래 기 본 약 관,제3조,(거래장소),1,"다만, 은행이 정하는 바에 따라 다른 영업점이나 다른 금융기관, 또는 현금자동지급기․ 현금자동입출금기․컴퓨터․전화기 등(이하 “전산통신기기”)을 통하여 거래할 수 있다."
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제4조:0,우리은행,예 금 거 래 기 본 약 관,제4조,(거래방법),0,거래처는 은행에서 내준 통장(증서․전자통장을 포함한다.
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제4조:0,우리은행,예 금 거 래 기 본 약 관,제4조,(거래방법),1,이하 같다.) 또는 수표․어음 용지로 거래하여야 한다.
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제4조:0,우리은행,예 금 거 래 기 본 약 관,제4조,(거래방법),2,"그러나 입금할 때, 자동이체약정․전산통신기기이용약정에 따라 거래하는 경우 및 기등록된 생체정보(이하“바이오정보”), 실명확인증표 등을 통해 본인확 인된 경우에는 통장 없이(이하“무통장”)도 거래할 수 있다."
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제5조:0,우리은행,예 금 거 래 기 본 약 관,제5조,"(인감, 비밀번호 등의 신고)",0,"① 거래처는 거래를 시작할 때 인감 또는 서명, 비밀번호, 성명, 상호, 대표자명, 대리인 명, 주소 등 거래에 필요한 사항을 신고하여야 한다."
44f27cc9eb5927ee91e6,44f27cc9eb5927ee91e6:제5조:0,우리은행,예 금 거 래 기 본 약 관,제5조,"(인감, 비밀번호 등의 신고)",1,"다만, 비밀번호는 비밀번호 입 력기(이하 “PIN-Pad기”라 한다)에 의하여 거래처가 직접 등록할 수 있으며, 거래처가 은행에 내점할 수 없는 경우 거래처는 개설된 예금의 첫거래 전에 은행이 정한 방법 에 따라 전산통신기기를 이용하여 비밀번호를 등록하여야 한다."
