은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB 올인원급여통장」 특약,1,적용범위,"KB 올인원급여통장(이하 ‘이 통장’이라 합니다)거래는 이 특약을 적용하며, 이 특약에서 정하지 않은사항은 예
금거래기본약관 및 입출금이자유로운예금약관을 적용합니다."
KB_bank,기타,「KB 올인원급여통장」 특약,2,가입대상,"이 통장의 가입대상은 금융실명거래 및 비밀보장에 관한 법률에 따라 실명이 확인된 개인이며, 1인 당 1개의
통장만 개설할 수 있습니다."
KB_bank,기타,「KB 올인원급여통장」 특약,3,예금과목,"이 통장의 예금과목은 보통예금, 저축예금으로 합니다."
KB_bank,기타,「KB 올인원급여통장」 특약,4,수수료 면제,"① 면제 조건 : 전월(1일~말일) 중 이 통장에서 아래 실적 중 하나 이상 발생된 경우
- 합산 50만원 이상 입금 이력이 있는 경우
※ 당행 본인 명의 계좌에서 이체된 건 및 본인의 주민등록번호로 입금된 건 제외
- KB 리브 모바일(KB Liiv M) 자동이체 출금 이력이 있는 경우
※ 체크카드 및 신용카드를 통해 출금된 건 제외
② 면제 기간 : 이번달 11일 ~ 다음달 10일
※ 이 통장의 신규(또는 전환)일부터 다음 다음 달 10일까지는 은행 거래실적에 관계없이 면제
③ 면제 횟수 : 제한없음
④ 면제 대상 수수료
- 전자금융(인터넷∙폰∙모바일뱅킹)을 통한 다른은행 이체수수료
- 납부자 자동이체 (타행 자동이체 포함)수수료
- KB국민은행 자동화기기 다른은행 이체수수료
- KB국민은행 자동화기기 시간외 출금수수료
- 다른은행 자동화기기 출금수수료
※ 다른은행 자동화기기의 경우 제휴 ATM 및 VAN사(효성·나이스·한네트 등) 자동화기기 제외"
