은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB 골든라이프연금우대통장」특약,1,적용범위,"KB골든라이프연금우대통장(이하 '이 통장'이라 합니다)거래는 이 특약을 적용하며, 이 특약에서
정하지 않은 사항은 예금거래기본약관 및 입출금이자유로운예금약관을 적용합니다."
KB_bank,기타,「KB 골든라이프연금우대통장」특약,2,가입대상,"이 통장의 가입대상은 실명의 개인으로 하며, 1인 1계좌에 한합니다."
KB_bank,기타,「KB 골든라이프연금우대통장」특약,3,예금과목,이 통장의 예금과목은 저축예금으로 합니다.
KB_bank,기타,「KB 골든라이프연금우대통장」특약,4,기본이율,이 통장의 기본이율은 결산일 현재 영업점에 고시한 기본이율을 적용합니다.
KB_bank,기타,「KB 골든라이프연금우대통장」특약,5,우대이율,"결산일 현재 영업점에 고시한 우대이율을 적용합니다.
주)① 적용대상 : 결산일 전월 말일을 기준으로 직전 3개월 동안 이 통장으로 대상연금이
입금된 건수에 따라 우대이율을 차등 적용합니다.단, 이 통장의 우대이율은
변경될 수 있으며 금리 변경 시에는 변경일부터 바뀐 금리가 적용됩니다.
②적용금액 : 이 통장의 결산기 평균잔액 중 1백만원 이하의 금액까지는 우대이율을 적용
하며, 1백만원을 초과하는 금액에 대하여는 기본이율을 적용"
KB_bank,기타,「KB 골든라이프연금우대통장」특약,6,수수료 면제 서비스,"이 통장으로 전월 아래 대상실적 중 하나 이상 발생한 경우 이번달 11일부터 다음달 10일까지
이 통장에서 발생하는 아래 수수료를 면제합니다.
※ 단, 이 통장의 신규(또는 전환)일부터 다음 다음 달 10일까지는 은행 거래실적에 관계없이 면제합니다.
① 전자금융(인터넷뱅킹, 폰뱅킹, 모바일뱅킹) 이체수수료(다른은행으로 보낼 때)
② KB국민은행 자동화기기 시간외출금수수료
③ KB국민은행 창구를 이용하여 이 통장에서 출금과 동시에 다른은행으로 이체할 때 발생하는
송금수수료(월5회)
④ 납부자자동이체(타행 자동이체포함)수수료"
KB_bank,기타,「KB 골든라이프연금우대통장」특약,7,환율우대 서비스,"① 이 통장 보유 고객 : KB국민은행 창구에서 외국통화매매시 현찰매매마진율의 30%를 우대
② 이 통장을 보유하고 전월 우대이율 적용대상에서 정한“대상연금”수령실적이 있는 고객
ㅇ KB국민은행 창구에서 외국통화매매시 현찰매매마진율의 50%를 우대
ㅇ KB국민은행 창구에서 해외 당발송금 시 해외 송금수수료의 50%를 우대"
