은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,예/적금,「KB Young Youth 적금」 특약,1,적용범위,"① “KB Young Youth 적금(이하 ‘이 적금’이라 합니다)” 거래는 이 특약을 적용하며, 이 특약에서 정하지 않은
사항은 예금거래기본약관 및 적립식예금약관을 적용합니다.
② 이 적금의 거래에 있어서 발생하는 전자금융거래에 관한 사항은 「전자금융거래기본약관」을 적용합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,2,가입대상,"① 이 적금의 가입대상은 만 19세 미만 실명의 개인으로 합니다.
② 이 통장은 공동명의로 가입이 불가하며, 1인 1계좌만 가입 가능합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,3,예금과목 및 계약기간,"이 적금의 예금과목은 정기적금으로 하며, 계약기간은 1년으로 합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,4,저축방법 및 저축한도,"이 적금의 저축금은 초회 1만원 이상, 2회차 이후 회차별 1천원 이상 원단위로 매월(해당월의 초일부터
말일까지) 300만원 이하 금액을 만기 전일까지 자유롭게 저축할 수 있습니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,5,이율의 적용,"① 이 적금의 만기이율은 기본이율과 우대이율을 합하여 계약기간 동안 적용합니다.
② 이 적금의 이율은 신규가입일 또는 재예치일 당시 영업점 및 KB국민은행 홈페이지에 게시한 이율을 적용하며,
우대이율은 제6조에서 정하는 조건을 충족하는 경우 적용합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,6,우대이율,"이 적금은 아래의 항목에 해당하는 실적을 충족하는 경우 신규가입일 또는 재예치일 당시 영업점 및 KB국민은행
홈페이지에 게시한 우대이율을 제공합니다. 단, 모든 우대이율은 만기해지시에만 계약기간동안 적용합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,7,적금의 운용,"① 이 적금은 만기 재예치를 신청하는 경우에만 만기일에 해지 원금 및 세금을 공제한 이자를 이 적금 초회
저축금으로 하여 1년 단위로 자동 재예치합니다. 단, 만기일이 영업일이 아닌 경우 만기일 후 첫 영업일에
재예치됩니다.
② 자동재예치시 재예치 통지를 요청한 고객에게만 고객이 신청한 방법(SMS 또는 이메일)으로 통지합니다.
③ 이 적금은 최초 가입 후 또는 재예치 후 추가 저축이 없는 계좌, 조세특례제한법에 의해 가입한
비과세종합저축 계좌가 저축한도를 초과하는 경우 및 압류 등 사고신고 계좌, 만20세가 되는 해에 계약기간
만기일이 도래하는 계좌는 재예치 대상에서 제외되며, 재예치되지 않은 경우 제9조 ①항 2에 따라"
KB_bank,예/적금,「KB Young Youth 적금」 특약,9,의 서비스도 제공되지 않습니다.,"④ 재예치된 계좌의 이율은 재예치된 날을 가입일로 하여 제5조 및 제6조에 따라 적용이율을 정합니다.
⑤ 이 적금은 은행의 사정에 의해 판매 중단될 경우 판매중단일 이후 만기 도래되는 계좌에 대해서는 자동
재예치하지 않습니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,8,예금의 일부인출,"① 이 적금은 재예치된 계좌의 재예치금(해지 원금 및 세금을 공제한 이자) 중 일십만원을 제외한 금액
범위내에서 계약기간 중 1만원 단위로 총 2회까지 일부인출 할 수 있습니다.
② 재예치일부터 일부인출일 전날까지의 기간에 대해 재예치일 당시 영업점에 게시한 중도해지 이율로 셈한
이자를 일부 인출금액에 더하여 지급합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,9,자녀안심보험 가입서비스,"이 적금 가입자는 다음과 같이 은행에서 정한 방법에 따라 보험가입서비스를 받을 수 있습니다.
① 보험 가입 대상
1. 최초 가입계좌 : 신규 시 보험가입 및 개인(신용)정보의 제3자 제공에 동의한 고객
2. 재예치 계좌 : 제①항 제1호에 의한 보험 가입계좌 중 재예치일 현재 잔액이 100만원 이상인 계좌
※ 최초 가입 시 보험가입에 동의하지 않는 경우 재예치 시에도 보험서비스가 제공되지 않음
※ 7조 ③항 및 ⑤항에 따라 재예치 되지 않은 계좌는 보험서비스가 적용되지 않음
② 보험 서비스 내용
③ 보장 기간 : 보험 개시일은 적금 신규 다음 날로 하며, 보험개시일로부터 1년(자동 재예치 시 1년 단위
갱신)으로 합니다. 단, 보장기간은 적금 계약기간을 초과할 수 없으며, 적금의 중도해지 시에는 보험가입
서비스 제공이 중단됩니다.
④ 유의사항
보험담보위험, 보험금지급 등 위 보험가입서비스 제공과 관련된 사항은 해당 보험약관에서 정하는 바에
따르며, 보험약관은 '㈜DB손해보험 홈페이지(www.idbins.com) > 보험상품 > 제휴보험 > 국민은행 KB
Young Youth 적금'에서 확인하실 수 있습니다. 또한 가입자 본인의 보험 관련 상담은 보험가입 다음달 21일
이후 ㈜DB손해보험 고객상담센터(일반 및 보상문의 ☎1588-0100)에서 문의 가능합니다."
KB_bank,예/적금,「KB Young Youth 적금」 특약,10,명의변경,이 예금은 양도에 의한 명의변경이 불가합니다.
KB_bank,예/적금,「KB Young Youth 적금」 특약,11,거래방법,"이 적금의 신규 및 해지는 영업점 및 KB스타뱅킹을 통해 가능합니다. 단, 영업점 신규 및 법정대리인의
KB스타뱅킹에서 신규 시에는 영업점 방문을 통한 해지만 가능합니다."
