은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB Young Youth 통장」 특약,1,적용범위,"① “KB Young Youth 통장(이하 ‘이 통장’이라 합니다)” 거래는 이 특약을 적용하며, 이 특약에서 정하지
않은 사항은 예금거래기본약관 및 입출금이 자유로운 예금약관을 적용합니다.
② 이 통장의 거래에 있어서 발생하는 전자금융거래에 관한 사항은 「전자금융거래기본약관」을 적용합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,2,가입대상,"① 이 통장의 가입대상은 만 19세 미만 실명의 개인으로 합니다.
② 이 통장은 공동명의로 가입이 불가하며, 「KB Young Youth 청소년통장」을 포함하여 1인 1계좌만 가입
가능합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,3,예금의 전환,"① 이 통장에서 다른 통장으로의 전환 시 도래하는 결산일(매년 2월, 5월, 8월, 11월의 둘째 금요일)까지는
이 통장으로 재전환이 불가합니다.
② 이 통장은 매년 첫 영업일을 기준으로 가입자의 연령이 만 19세인 경우 「KB 국민ONE통장」으로 자동
전환됩니다. 다만 자동 전환 시에 「KB 국민ONE통장」을 이미 보유한 경우에는 「KB종합통장」으로
전환됩니다."
KB_bank,기타,「KB Young Youth 통장」 특약,4,예금과목,이 통장의 예금과목은 저축예금으로 합니다.
KB_bank,기타,「KB Young Youth 통장」 특약,5,적용이율,"① 이 통장의 기본이율은 결산일 현재 영업점에 게시한 기본이율을 적용합니다.
② 이 통장의 가입자가 제6조에서 정한 저금통 서비스를 이용하는 경우, 저금통의 매일의 최종잔액에 대하여
결산일 현재 영업점에 게시한 특별이율을 적용하며, 그 외의 잔액에 대하여는 제①항에서 정한 기본이율을
적용합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,6,부가서비스,"이 통장 가입자에 대하여 “저금통 서비스”와 “수수료 면제서비스”가 제공됩니다.
① 저금통 서비스
이 통장 가입자 계좌의 출금가능 잔액 범위 내에서 아래의 1, 2호에 따라 설정한 금액에 제5조 ②항에서
정한 특별이율을 제공하는 것을 “저금통”이라 합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,5,②항에서 정한 특별이율을 받기 위하여 출금(이체) 불가한 금액을 정하는 것을 ‘저금통 설정’이라,"하며, 저금통으로 설정된 잔액을 출금(이체) 가능한 금액으로 차감하는 것을 ‘저금통 해제’라 합니다.
1. 저금통 설정, 해제는 횟수 제한 없이 영업점 및 인터넷뱅킹, KB스타뱅킹을 통하여 거래할 수 있습니다.
2. 저금통 설정은 최대 100만원까지 1만원 단위로 할 수 있으며, 저금통의 매일의 최종잔액에 대하여 제5
조 ②항에 따라 결산일 현재 영업점에 게시한 특별이율을 적용합니다.
3. 저금통으로 설정된 금액은 계좌 출금(이체)이 불가하며, 필요금액만큼 저금통 해제 처리 후 계좌 출금(이
체)이 가능합니다.
4. 다른 예금 상품으로 전환하는 경우 저금통은 자동으로 해제됩니다.
5. 다른 예금 상품에서 이 상품으로의 전환하는 경우, 도래하는 결산일 저금통 설정이 가능합니다.
6. 거래 정정 등 부득이한 사유로 저금통 설정금액보다 실제 잔액이 더 적은 경우에는 실제 잔액에 대하여"
KB_bank,기타,「KB Young Youth 통장」 특약,5,②항에 따라 결산일 현재 영업점에 게시한 특별이율을 적용합니다.,"② 수수료 면제 서비스
전월 중 이 통장에서 KB국민카드(신용/체크/KB국민비씨카드 포함) 결제실적이 있는 경우 이번 달
11일부터 다음 달 10일까지 전자금융(인터넷뱅킹, 폰뱅킹, 모바일뱅킹)의 이체 수수료(다른 은행으로 보낼
때)와 KB국민은행 자동화기기 시간외 출금수수료를 면제합니다. 이 때 면제 횟수는 제한이 없습니다.
※ 단, 이 통장의 신규(또는 전환)일부터 다음 다음 달 10일까지는 은행 거래실적에 관계없이 면제"
KB_bank,기타,「KB Young Youth 통장」 특약,7,전환계좌의 이율적용 기준,"① 다른 예금에서 이 통장으로 전환한 경우에는 전환일이 속한 결산기(지난 결산일부터 결산일 전일까지)에
대해서는 기존 예금의 이율을 적용하고, 그 다음 결산기부터 제5조에서 정한 이율(이하 “이 통장의 이율”이라
함)을 적용합니다.
② 이 통장에서 다른 예금으로 전환한 경우에는 전환일이 속한 결산기에 대해서는 이 통장의 이율을 적용하고,
그 다음 결산기부터 전환된 예금의 이율을 적용합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,8,명의변경,"이 예금은 상속, 양도에 의한 명의변경이 불가합니다."
KB_bank,기타,「KB Young Youth 통장」 특약,9,거래방법,"이 통장의 신규는 영업점 및 KB스타뱅킹을 통해 가능합니다.
이 통장의 해지는 영업점을 통해 가능합니다."
