은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,예/적금,국민수퍼정기예금 특약,1,적용범위,"국민수퍼정기예금(이하 '이 예금'이라 합니다)거래는 이 특약을 적용하며 이 특약에서 정하지 않은 사항은
예금거래기본약관 및 거치식예금약관을 적용합니다."
KB_bank,예/적금,국민수퍼정기예금 특약,2,가입대상,이 예금의 가입대상에는 제한이 없습니다.
KB_bank,예/적금,국민수퍼정기예금 특약,3,예금과목,이 예금의 예금과목은 정기예금으로 합니다.
KB_bank,예/적금,국민수퍼정기예금 특약,4,계약기간,"① 고정금리형은 1개월 이상 36개월 이내 월 또는 일단위로 합니다.
② 단위기간금리연동형은 12개월 이상 36개월 이내 월단위로 하고, 이때 연동(회전)단위 기간은
1개월 이상 6개월 이내 월단위 또는 30일 이상 181일 이내 일단위로 합니다.
③ CD금리연동형은 6개월, 1년, 2년, 3년으로 합니다."
KB_bank,예/적금,국민수퍼정기예금 특약,5,저축방법,"① 이 예금의 거래처는 계약기간을 달리하여 신규시에는 최저 1백만원 이상 입금하고 10만원 이상 총
30회(신규 포함) 범위내에서 수시로 추가 입금할 수 있습니다."
KB_bank,예/적금,국민수퍼정기예금 특약,6,이율의 적용,"① 고정금리형은 계좌별로 신규 및 추가입금 당시 영업점에 게시된 이율이 계약기간까지 적용됩니다.
② 단위기간금리연동형은 각 단위기간별로 단위기간 시작일 당시 영업점에 게시된 이율이 적용됩니다.
③ CD금리연동형은 3개월 단위로 신규일 및 추가입금일 또는 신규일 및 추가입금일로부터 매 3개월 경과일이
속한 주의 전주 최종 영업일의 직전 영업일에 금융투자협회에서 산출하는 CD수익률에 연동한 이율이
계약기간까지 적용됩니다.
※ CD수익률 : 신용평가회사로부터 AAA이상의 신용등급을 받은 시중은행이 발행한 만기가 91일(만기가 80일 이상
100일 이내면 만기 91일로 봄)인 CD의 발행수익률로서 기초자료제출기관이 금융투자협회에 제출한
기초수익률을 기반으로 협회가 산출한 수익률
다만, 금융투자협회가 CD수익률 산출업무를 수행하기 어려운 비상사태가 발생하는 경우 CD수익률을 3개월
CD시가평가 기준수익률(AAA등급)의 채권평가 5사 평균금리(민간평가사 CD수익률)로 변경하고, 영업점과
인터넷 홈페이지에 산출업무 중단 사유 및 내용, 기간 등을 공시하며 개별 가입자에게 안내하기로 합니다.
④ 거래처는 신규 및 추가 입금시마다 제1항 내지 제3항에서 정한 이율적용방법을 선택하여야 합니다.
⑤ 이 예금의 신규 시 금리우대쿠폰을 적용한 경우 쿠폰 우대금리를 기본이율에 가산합니다.
※ 금리우대쿠폰 우대금리는 신규 당시 적용한 쿠폰의 우대금리를 따르며, 세부 사항은 금리우대쿠폰에서
확인 가능합니다.
※ 금리우대쿠폰은 신규 시에만 사용 가능하며 중도해지 시에는 적용되지 않습니다."
KB_bank,예/적금,국민수퍼정기예금 특약,7,이자지급방법 등,"① 이 예금의 이자지급방법 중 고정금리형은 월이자지급식, 만기이자지급식, 월이자복리식,
단위기간금리연동형은 단위기간이자지급식, 단위기간이자복리식이 있고, CD금리연동형은 만기이자지급식,
3개월이자지급식, 월이자지급식이 있으며, 거래처는 이자지급방법을 가입시 및 추가 입금시 선택하여야 하고,
이자지급방법을 중도에 변경할 수 없습니다.
② 고정금리형의 이자는 신규일 및 추가입금일 당시 영업점에 게시한 예치기간별 해당이율로 셈하여 원금과 함께
지급합니다.
③ 단위기간금리연동형의 이자는 단위기간별로 영업점에 게시된 해당이율로 셈하여 단위기간 마다 지급하거나
만기에 원금과 함께 지급합니다.
④ CD금리연동형의 이자는 신규 및 추가입금일로부터 최초 3개월간은 신규 및 추가입금일 현재 제6조 제1항에
의한 해당 이율로 셈하고, 신규 및 추가입금일로부터 매 3개월 경과 시점으로부터 이후 3개월간은 신규 및
추가입금일로부터 매 3개월 경과시점 현재 제6조 제3항에 의한 해당 이율로 셈하여 월 또는 3개월 단위로
지급하거나, 만기에 원금과 함께 지급합니다."
KB_bank,예/적금,국민수퍼정기예금 특약,8,중도해지,"거래처가 만기일 이전에 지급 청구할 때에는 신규일 및 추가입금일로부터 지급일 전일까지의 기간에 대해
입금일 당시 영업점에 게시한 중도해지이율로 셈한 이자를 원금에 더하여 지급합니다. 다만,
단위기간금리연동형의 경우 단위기간 경과후 해지할 때에는 경과된 단위기간에 대해서는 약정 이율을 적용하고
잔여기간에 대해서는 입금일 당시 영업점에 게시한 중도해지이율을 적용합니다."
KB_bank,예/적금,국민수퍼정기예금 특약,9,만기후이율,"거래처가 만기일 후 지급청구할 때에는 만기일로부터 지급일 전일까지의 기간에 대해 신규 및 추가입금일 당시
영업점에 게시된 만기후 이율로 셈한 이자를 더하여 지급합니다."
KB_bank,예/적금,국민수퍼정기예금 특약,10,분할인출,"이 예금은 1개월이상 경과된 고정금리형에 한하여 신규 및 추가입금 계좌별로 3회(해지 포함)까지 총 15회
범위내에서 분할인출할 수 있습니다."
KB_bank,예/적금,국민수퍼정기예금 특약,11,관련대출,이 예금 가입자는 은행이 정하는 방법 및 절차에 따라 대출을 받을 수 있습니다.
