은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB보육&복지시설우대통장」특약,1,적용범위,"KB보육&복지시설우대통장(이하 “이 통장”이라 합니다)거래는 이 특약을 적용하고, 이 특약에서
정하지 않은 사항은 예금거래기본약관 및 입출금이자유로운예금약관을 적용합니다."
KB_bank,기타,「KB보육&복지시설우대통장」특약,2,가입대상,"이 통장의 가입대상은 개인사업자, 법인 및 고유번호나 납세번호가 있는 임의단체로서 보육시설 및
복지시설 운영(예정)자로 합니다."
KB_bank,기타,「KB보육&복지시설우대통장」특약,3,예금과목,이 예금의 예금과목은 보통예금 또는 기업자유예금으로 합니다.
KB_bank,기타,「KB보육&복지시설우대통장」특약,4,적용이율,이 통장의 적용이율은 결산일 현재 영업점에 고시한 예금과목별 기본이율을 적용합니다.
KB_bank,기타,「KB보육&복지시설우대통장」특약,5,수수료면제 서비스,"이 통장 가입고객에게는 은행거래실적에 따라 수수료면제 서비스가 제공되며, 실적 발생 및
수수료면제는 이 통장 기준입니다.
① 면제조건: 전월 중 이 통장에서 아래 항목 중 하나 이상의 실적이 발생된 경우
*1. 정부 및 지방자치단체 보조금 입금실적이 있는 경우
* 이 통장 적요란에 ‘구청, 시청, 군청, 보조, 복지, 정부지원, 보육, 월급여, 어린이집,
저소득, 자녀, 운영비’ 등의 문구가 있는 경우에 한하여 인정
*2. 가맹점대금 입금실적이 있는 경우
* KB국민카드 가맹점대금 및 공동망 가맹점 매입분(KB국민비씨카드 및 다른카드회사
카드 전표를 KB국민은행이 매입한 경우) 포함
3. KB국민카드(KB국민체크/신용/BC카드) 결제실적(현금서비스 포함)이 있는 경우
*4. 종업원 급여이체 및 대량 이체실적이 있는 경우
* KB국민은행과 급여이체 또는 대량이체계약에 의한 선일자, Top라인,
기업인터넷뱅킹 자금관리서비스(급여이체)
② 면제기간 : 이번 달 11일부터 다음 달 10일까지
③ 면제대상 수수료 및 면제횟수
④ 이 통장의 신규(전환)일로부터 다음 다음 달 10일까지는 면제조건에 관계 없이 수수료면제
서비스를 제공합니다."
KB_bank,기타,「KB보육&복지시설우대통장」특약,6,제한사항,"다른 통장에서 이 통장으로의 전환은 가능하나, 이 통장에서 다른 통장으로의 전환은 불가합니다."
