은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,『KB WELCOME 통장』특약,1,약관의 적용,"KB WELCOME통장(이하 “이 통장”이라 합니다)거래는 이 특약을 적용하고, 이 특약에서 정하지
않은 사항에 대해서는 입출금이자유로운약관, 예금거래기본약관을 순서대로 적용합니다."
KB_bank,기타,『KB WELCOME 통장』특약,2,예금과목,"이 통장의 예금과목은 보통예금, 저축예금으로 합니다."
KB_bank,기타,『KB WELCOME 통장』특약,3,가입대상,이 통장의 가입대상은 실명의 개인인 외국인으로 합니다.
KB_bank,기타,『KB WELCOME 통장』특약,4,적용이율,이 통장의 이율은 결산일 현재 영업점에 게시한 예금과목별 고시이율을 적용합니다.
KB_bank,기타,『KB WELCOME 통장』특약,5,전자금융 및 자동화기기 수수료 면제,"①전월 중 아래 면제조건에 해당하는 실적이 있는 경우 이번 달 11일부터 다음 달 10일 까지 해
당계좌에서 발생하는 면제대상 수수료를 아래와 같이 면제합니다. 단, 잔여횟수는 이월 되지
않습니다.
주아래의 1에 해당하는 건별50만원 이상의 급여이체실적만 인정. 1)
국민은행과의급여이체계약에의해국민은행급여이체전산급여성선일자급여성1. KB    KB  ( ,
탑라인기업인터넷뱅킹을통해해당계좌에입금, )
이통장가입시에고객이지정한일자전후영업일포함영업일에법인또는고유납        2.      ( 1  3)   (
세번호를부여받은단체가국민은행의인터넷뱅킹폰뱅킹창구거래를통해해당계좌)   KB , ,
에입금
이통장가입시에고객이지정한일자전후영업일포함영업일에선일자탑라인국        3.      ( 1  3) , ,
고지로를통해해당계좌에입금, , CMS
이통장가입시에고객이지정한일자전후영업일포함영업일에다른은행으로부터해당        4.      ( 1  3)
계좌에입금
주해당계좌에서국민신용카드국민체크카드국민비씨카드결제실적이있는경우국민선   2)  KB, KB, KB   (KB
불카드제외 )
주은행외부장소에설치된다른은행제휴기및한컴효성나이스등사기제외3)    CD  //  VAN CD
②이 통장의 신규(또는 전환)일로부터 익익월 10일까지는 제 1항에도 불구하고 전월 실적에
관계없이 아래와 같이 수수료를 면제합니다.
- 전자금융(인터넷뱅킹, 폰뱅킹, 모바일뱅킹)이체수수료(다른은행으로 보낼 때)
제한없음
- KB국민은행 자동화기기 시간외 출금수수료
- KB국민은행 자동화기기 이체수수료 (다른은행으로 보낼 때) 총 10회
- 다른은행 자동화기기 출금수수료 총 5회"
KB_bank,기타,『KB WELCOME 통장』특약,6,환율 및 해외당발송금수수료 우대,"①이 통장의 예금주가 KB국민은행 창구에서 외국통화매매시 현찰매매마진율의 50%를 우대하고,
해외 당발송금시 해외송금수수료의 50%를 우대합니다.
②이 통장에서「KB WISE해외송금서비스」를 이용하여 급여송금시 5회째부터 해외송금수수료를 면
제합니다. (단, 해당년도의 초일부터 말일까지 총 12회 면제)
③이 통장에서 출금하여 예금주 명의의 외화입출금이자유로운예금으로 연동 입금시 전신환매매마
진율의 70%를 우대한 환율을 적용합니다.
본 특약은 법령 및 내부통제기준에 따른 절차를 거쳐서 제공됩니다."
