은행명,상품종류,상품이름,조항,조항이름,조항내용
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제1조,(목적),이 약관은 “대출이동시스템을 통한 전세대출 대환대출서비스”를 이용하는 고객과 금융회사 간의 서비스 이용에 관한 제반 사항을 규정함을 목적으로 합니다.
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제2조,(용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음의 각 호와 같습니다.
1. “대출이동시스템을 통한 전세대출 대환대출서비스”(이하 “본 서비스”)라 함은 고객이 대출이동시스 템을 통해 본인명의 전세대출을 일괄조회하여 기존대출을 상환하고, 신규대출을 실행할 수 있는 서비 스를 의미합니다.
2. “대출이동시스템”이라함은 고객으로부터 대출 정보조회 및 상환에 대한 위임을 받은 금융회사 등이 금융결제원을 통해 금융회사에 개설된 고객의 대출정보를 일괄조회하고, 조회한 대출을 상환처리할 수 있는 온라인 시스템을 의미합니다.
3. “신규기관”이란 타사 대출 대환을 전제로 신규대출을 취급하는 금융회사를 의미합니다.
4. “보유기관”이란 상환할 기존대출을 보유한 금융회사를 의미합니다.
5. “전세대출”이라 함은 보증기관(HF, HUG, SGI 등)의 보증서를 담보로 한 전세자금대출을 의미합 니다.
6. “상환”이라 함은 대출원리금 및 제비용 등의 채무금액의 전체를 변제하고 해당 대출을 해지하는 것까
지 포함합니다.
7. “금융회사”라 함은 본 서비스에 참가 중인 은행, 보험회사 등을 의미합니다.
8.“비대면 채널”이라 함은 인터넷 홈페이지 또는 모바일 애플리케이션 등을 의미합니다.
② 이 약관에서 별도로 정하지 아니한 용어는 「은행법」, 「보험업법」, 「전자금융거래법」등에서 정하
는 바에 따릅니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제3조,(이용대상),"본 서비스는 19세 미만 미성년자 및 외국인을 제외한 개인에 한해 이용할 수 있으며 법인, 임의단체는 이용할 수 없습니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제4조,(이용채널),고객은 금융회사의 영업점 또는 비대면 채널(이하 “이용채널”)에서 본 서비스를 이용할 수 있습니다.
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제5조,(이용방법),고객은 본 서비스를 제공하는 금융회사의 정책에 따른 본인확인 및 고유식별번호 검증을 마친 후 본 서 비스를 이용할 수 있습니다.
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제6조,(대출정보조회),"① 고객은 이용채널에서 제5조에 의한 검증 완료 후 본 서비스에 참가한 금융회사에 개설된 고객 본인

명의 전세대출 정보를 조회할 수 있습니다. 그러나 보유기관에서 확인된 사망자 및 주민등록번호 중복
자 대출, 피후견인 명의로 신청한 대출 관련 정보는 본 서비스를 통해 조회할 수 없습니다.
② 고객이 특정 금융회사에 본인명의 대출을 30개 초과하여 보유하고 있는 경우에는, 본 서비스를 통해 30개까지의 대출정보만 조회 가능합니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제7조,(대출실행 및 대출상환),"① 고객은 이용채널에서 신규기관과 본 서비스 관련 계약(약정)을 체결함으로써 신규대출 실 행 및 보유기관에 개설되어 있는 전세대출을 상환할 수 있습니다. 다만, 제6조에 따른 대출정 보조회 이후 금융회사의 심사 절차 등이 필요함에 따라, 고객이 신규대출을 실행할 때까지 일
정 시일이 소요될 수 있습니다.
② 고객은 기존 전세계약 대하여 대환대출 하고자 하는 경우에는 기존 전세계약 만료일 6개월 이전까 지만 본 서비스를 이용할 수 있습니다. 한편 고객이 기존 전세계약을 갱신할 때 대환대출 하고자 하는 경우에는 기존 전세계약 만료일 2개월 이전부터 기존 전세 계약 만료일 15일 이전까지만 본 서비스를 이용할 수 있습니다.
③ 고객은 신규기관에게 기존대출 상환을 위임하고, 위임받은 신규기관은 보유기관 상환계좌(가상계좌
등)에 입금처리를 통해 기존대출을 상환합니다.
④「금융소비자보호법」 제46조(청약의 철회)에 의거하여 철회권 행사 가능한 대출, 연체대출, 선납 이자 환출 불가한 대출, 본 서비스 이용 신청 당일 부채증명원 및 예금잔액증명서가 발급된 대출, 신규대
출 취급일로부터 3개월이 경과하지 않은 대출, 보증료 미납 대출, 별도 협약 등에 따라 취급된 대출 (특정 지역 연계대출 등) 등의 경우에는 본 서비스를 통한 대출상환이 불가합니다.
⑤ 기존대출 상환 실패 시 신규기관에서 실행된 신규대출 계약은 취소됩니다.
⑥ 기존대출 상환 결과를 확인할 수 없을 경우, 신규대출계약과 기존대출 상환요청은 취소될 수 있으며, 상환 결과가 확인 완료될 때까지 대출금 지급이 제한될 수 있습니다.
⑦ 「금융소비자보호법」 제46조(청약의 철회)에 의거한 대출계약 철회는 신규기관을 통해 실행한 신규대 출계약에만 적용되며, 대출이동시스템을 통해서 정상적으로 상환 완료한 기존대출은 상환 취소할 수 없 습니다.
⑧ 신규대출 연계계좌에서 기존대출 상환을 위한 상환금액이 출금되어 자동으로 기존대출을 상환할 수 있습니다.
⑨ 신규기관은 고객의 기존대출과 관련하여 선납금액이 있는 경우에, 고객에게 선납금액이 있음을 안 내하여야 합니다.
⑩ 고객이 신규기관을 통해 특정 대출에 대하여 본 서비스를 통한 대출상환을 요청한 이후에는 당
일 내 다른 금융회사를 통해 해당 대출에 대하여 본 서비스를 통한 대출상환을 요청할 수 없습니다.
⑪ 동 조 제10항에도 불구하고 고객이 신규기관을 통해 특정 대출에 대하여 본 서비스를 통한 대 출상환을 요청한 이후, 고객의 추가적인 의사 표시에 따라 대출상환 요청을 취소하거나 대환 대출이 취소 처리(신규기관 장애 등)된 경우에는 당일 내 금융회사를 통해 다시 본 서비스를 통한 대출상환을 요청할 수 있습니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제8조,(위험의 고지 및 동의),"① 본 서비스는 온라인 시스템을 통해 제공되는 서비스로, 시스템의 제약으로 인해 기존대출의 상환 실패 등이 발생하는 경우 고객에게 의도하지 않은 불이익이 발생할 위험이 있습니다.
② 신규기관은 제1항의 내용을 서비스 화면 또는 홈페이지 등을 통해 고객에게 고지하며 고객은 이에 대해 동의를 한 후에 본 서비스를 이용할 수 있습니다.
③ 제2항의 조치는 신규기관이 고객에 대해 부담하는 법률적 책임에 영향을 미치지 않습니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제9조,(장애 시의 처리),"금융회사는 통신장애 등의 사유로 인하여 대출이동서비스를 원활하게 제공하는 것이 불가능한 경우에
는 이용채널을 통해 고객에게 이를 즉시 통지하여야 합니다."
우리은행,대출,전 세 대 대 출 출 대 이 환 동 대 시 출 스 서 템 비 을 스 통 이 한 용 약 관,제10조,(손해배상 및 면책),"① 고객이 정상적으로 서비스를 신청하였음에도 불구하고, 신규기관의 고의 또는 과실로 고객에게 손 해가 발생한 경우 신규기관은 손해의 전부 또는 일부를 배상합니다. 단, 신규기관이 고객의 고의 또는 과실이 있었음을 증명하거나 보유기관 또는 금융결제원의 고의 또는 과실로 손해가 발생한 경우 손해
에 대한 책임의 전부 또는 일부를 지지 아니합니다.
② 제1항에도 불구하고, 고객이 비대면 채널을 통해 본 서비스를 이용하는 과정에서 발생한 손해에 관 한 신규기관의 배상책임에 대해서는 전자금융거래법 등 다른 법령 및 전자금융거래기본약관에 고객에게 유리하게 적용할 수 있는 규정이 있는 경우에는 해당 법령 및 약관이 우선 적용됩니다."
