은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,공유형모기지대출 추가약정서,전문,,"은행은 채무자 및 담보제공자에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래
기본약관 및 이 약정서의 1부를 교부하여야 합니다.
주식회사 국민은행 (주택도시기금 업무수탁은행) 앞 20 년 월 일
채 무 자 (인)
주 소
담보제공자 (인)
주 소
본인은 국토교통부 기금운용계획에 따라 주택도시기금으로 지원되는 수익공유형 및 손익공유형 모기지
대출 중 모기지 대출을 받기 위하여 국민은행과 체결한 년 월 일자
대출거래약정서(주택도시기금대출:가계용) 및 은행여신거래기본약관(가계용)에 추가하여 다음 각 사항을
약정하기로 합니다.
■ 용어의 정의"
KB_bank,대출,공유형모기지대출 추가약정서,1,처분손익 또는 평가손익,"① 주택 매입가격은 대출받은 자가 매입시 매매계약서에 기재한 가격을, 주택 매각가격은 대출
받은 자가 매각시 매매계약서에 기재한 가격을 말합니다.
② 시세조사가격은 한국부동산원이 조사한 주택가격을, 시세감정가격은 국토교통부장관이 지정한
감정평가기관(“이하 감정평가기관)이 시세감정한 주택가격을 말합니다.
③ 처분손익이란 매각가격에서 매입가격을 차감한 금액을 말합니다. 다만, 매각가격을 미통보한
경우 제 7 조에 따라 처분손익을 산정하고, 주택매각가격을 감정평가기관의 시세감정가격 보다
5%(3 억원 이하 주택의 경우) 또는 15 백만원(3 억원 초과 주택의 경우) 이상 적게 신고할
경우에는 제 8 조에 따라 처분손익을 산정합니다.
④ 평가손익이란 주택을 매각하지 않고(상속 및 증여를 포함), 만기 또는 조기에 대출금을 전액
상환하는 경우 주택의 시세감정가격에서 매입가격을 차감한 금액을 말합니다.
⑤ 재개발·재건축 등의 사유로 해당 주택이 멸실되는 경우와 리모델링으로 인해 중도상환하는
경우에는「도시 및 주거환경정비법」 제 48 조 제⑤항 제 1 호에 의한 ""종전 토지 및 건축물의
가격""에서 매입가격을 차감한 금액을 평가손익으로 합니다.
⑥ 법적절차에 의한 경우에는 낙찰가격에서 매입가격을 차감한 금액을 처분손익으로 합니다.
⑦ 처분손익(평가손익)은 소유권 이전과 관련된 제반 비용, 주택 수리비용 등은 감안하지 않기로 합니다.
⑧ 처분손익은 주택매각에 따른 대출금 상환시(대출개시 3 년 초과) 양도소득세를 반영하지
아니하고 정산하며, 향후 양도소득세 납부내역을 제출하는 경우 양도소득세를 반영한 세후
이익을 기준으로 재정산하여 환출하기로 합니다. (다주택으로 인하여 양도소득세가 발생된 경우 제외)
112654 (2022.06.15)
■ 수익공유형 모기지대출"
KB_bank,대출,공유형모기지대출 추가약정서,2,처분손익 또는 평가손익의 정산,"① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을
대출금 상환시에 대출금원리금에 추가하여 국민은행(주택도시기금 업무수탁은행)에 지급하기로
합니다. 단, 손실이 발생한 경우에는 제외합니다.
② 상기 제①항에 따라 처분손익(평가손익)을 정산하는 경우에는 대출금 상환시 또는 대출만기시 대출
기간 중 원금 기준 평균잔액을 계산하고, 매입가격 대비 대출기간 중 원금기준 평균잔액 비율을
계산하여 처분손익(평가손익)에 그 해당 비율만큼을 지급하기로 합니다. 다만, 3년 이내에 일부를
중도상환하는 경우에는 대출 실행금액에서 해당 중도상환금을 차감하여 평균잔액을 계산합니다.
처분손익(평가손익)의 정산은 대출기간 중 원금기준 평균잔액에 연 3.5% 수익률을 적용한 금액을
최대한도로 합니다.
③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다."
KB_bank,대출,공유형모기지대출 추가약정서,3,조기상환수수료,"① 채무자가 대출개시일로 부터 3 년 이내에 주택을 매각 또는 상환하는 경우에는 추가약정서
제 2 조에 추가하여 조기상환수수료를 지급하기로 합니다.
- 3년 이내 조기상환시 연 ( )%
- 조기상환수수료 = 대출금액 × 조기상환수수료율 × 경과기간(대출취급일∼상환일전일) / 365 (윤년366)
② 3 년 경과 후 상환하는 경우 조기상환수수료는 없습니다.
■ 손익공유형 모기지대출"
KB_bank,대출,공유형모기지대출 추가약정서,4,처분손익 또는 평가손익의 정산,"① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을
대출금 상환시에 국민은행(주택도시기금 업무수탁은행)과 정산하기로 합니다. 정산은 대출비율
(대출금액 / 주택매입가격)을 기준으로 하며, 처분손익의 대출비율 상당액은 국민은행(주택
도시기금 업무수탁은행)에 귀속됩니다.
② 상기 ①항에 따라 처분이익이 발생할 경우에는 대출금 상환시에 대출 원리금에 추가하여 고객이
지급하며, 처분손실이 발생할 경우에는 대출금 상환시에 원리금 납부금액에서 공제하고 정산합니다.
③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다."
KB_bank,대출,공유형모기지대출 추가약정서,5,조기상환수수료,"① 채무자가 대출개시일로 부터 3 년 이내에 주택을 매각 또는 상환하는 경우에는 추가약정서
제 4 조에 추가하여 조기상환수수료를 지급하기로 합니다.
- 3년 이내 조기상환시 연 ( )%
- 조기상환수수료 = 대출금액 × 조기상환수수료율 × 경과기간(대출취급일∼상환일전일) / 365 (윤년366)
② 3 년 경과 후 상환하는 경우 조기상환수수료는 없습니다.
■ 공통사항"
KB_bank,대출,공유형모기지대출 추가약정서,6,처분손익 또는 평가손익의 확정시기,"처분손익(평가손익)은 주택매각시에, 매각없이 대출금을 중도상환할 경우에는 상환시에, 대출금
만기가 도래할 경우에는 만기시에 확정하기로 합니다. 다만, 실거래가 신고의무를 위반한 경우
에는 제 8 조에 따라, 만기가 도래하지 않고 법적절차에 의한 회수시에는 제 1 조 제⑥항에 따라
처분손익을 확정합니다.
112654 (2022.06.15)"
KB_bank,대출,공유형모기지대출 추가약정서,7,주택 매각 계획 통보 의무,"① 매각 및 기타의 사유로 소유권을 이전하는 경우에는 소유권 이전등기 1 개월 전까지 매각 예정일자,
예정매각가격 등 소유권 이전과 관련된 ""매각계획서""를 은행에 제출하여야 합니다.
② ""매각계획서""를 제출하지 않는 경우에는 감정평가기관의 시세감정가격에서 매입가격을 차감한
금액을 처분손익으로 합니다. 단, 통보없이 매각하더라도 실거래가(매각가격)가격이 감정평가
기관의 시세감정가격 보다 높은 경우에는 매각가격에서 매입가격을 차감한 금액을 처분손익으로
합니다.
③ 고객이 제 2 조제 2 항에 따라 처분(평가)손익을 최대한도로 정산 요청하는 경우에는 제 1 항과
제 2 항을 적용하지 않습니다."
KB_bank,대출,공유형모기지대출 추가약정서,8,매각가격의 검증,"① 은행은 ""매각계획서""가 접수되면 감정평가기관에 해당 주택에 대해 시세감정을 의뢰하고,
감정평가기관의 시세감정가격을 고객에게 통보하기로 합니다.
② 매각계획서상 예정가격이 시세감정가격보다 5%(3 억원 이하 주택의 경우) 또는 15 백만원(3 억원
초과 주택의 경우) 이상 적게 신고된 경우에는 부동산중개업자가 서명한 실거래가 확인서를
은행이 요구할 수 있습니다.
③ 대출받은 자는 주택을 매각시 매매계약서를 제출하고, 매각가격이 시세감정가격보다 5%(3 억원
이하 주택의 경우) 또는 15 백만원(3 억원 초과 주택의 경우) 이상 적게 기재된 경우 은행은
매각가격을 검증 합니다.
④ 은행은 매각가격 검증 결과 실거래가 신고의무 위반사항이 적발되면 시세감정가격에서 매입
금액을 차감한 차액을 최종 처분손익으로 확정합니다.
⑤ 고객이 제 2 조제 2 항에 따라 처분(평가)손익을 최대한도로 정산 요청하는 경우에는 제 1 항
내지 제 4 항에도 불구하고 감정평가기관의 시세감정 및 은행의 매각가격 검증을 생략합니다."
KB_bank,대출,공유형모기지대출 추가약정서,9,우선매수청구권,"① 고객이 제출한 ""매각계획서""의 예정매각가격이 감정평가기관의 시세감정가격보다 10% 이상
낮을 경우에는 주택도시기금, LH 또는 주택도시보증공사는 고객에게 매각예정일 2 주 전까지
""우선매수청구권"" 행사 여부를 통지하고, 고객이 제출한 예정매각가격으로 해당 주택에
대한 ""우선매수청구권""을 행사할 수 있습니다.
다만, 고객이 제 8 조제 5 항에 따라 처분손익을 최대한도로 정산 요청하는 경우 우선매수청구
권을 행사하지 않습니다.
② ""우선매수청구권"" 행사 통지에도 불구하고, 당해 주택을 제 3 자에게 매각한 경우에는 매각
가격이 아닌 감정평가기관의 시세감정가액으로 처분손익을 산정합니다."
