은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,전문,,"동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
(시행일 : 2024. 3. 22)
추가 약정서
(KB 제휴 대환 신용대출용Ⅱ)
주식회사 국민은행 앞 20 년 월 일
채 무 자 : (인)
주 소 :
채무자는 주식회사 국민은행과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여
다음과 같이 약정합니다. 대출거래약정서(가계용)와 상충되는 사항은 본 추가약정서의 조항을
따릅니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,1,목적,"이 약정서는 「KB 제휴 대환 신용대출」 상품이 씨티은행의 소비자금융 단계적 폐지에 따라
씨티은행의 신용대출을 받은 대출고객을 보호하고, 대출 이용의 편의를 제공하기 위하여
국민은행과 씨티은행의 제휴에 의한 상품임을 확인하고, 다음의 사항에 대하여 약정을
체결하기 위함입니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,2,대출실행 및 대출한도,"① 「KB 제휴 대환 신용대출」은 1회 신청시 1건의 씨티은행 신용대출 계좌만 대환이
가능하며, 1회 다(多)건 대환은 불가합니다.
② 개별거래대출은 개별거래대출로 대환이 가능하며, 한도거래대출(종합통장자동대출)은
한도거래대출로 대환이 가능합니다.
③ 「KB 제휴 대환 신용대출」의 대출한도는 대환하고자 하는 씨티은행 신용대출의
대출신청일 기준 대출잔액입니다. 단, 한도대출의 경우 기존계좌 약정금액만큼 대환 대출
한도가 약정됩니다.
④ 실행된 대출금은 기존대출 상환을 위한 씨티은행 가상계좌로 자동 입금되며, 대출원금
이외에 상환에 필요한 이자 및 기타 제비용은 고객 본인명의의 국민은행 입출금통장에서
자동 출금되어 납부됩니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,3,대출금리,"① 대출금리는 대출신청일 기준 씨티은행 계좌 적용금리에서 KB 웰컴우대금리 1.00%p가
일괄우대되고, 추가로 국민은행 신용등급별로 최고 0.50%p 우대하여 최저 1.00%p에서
최고 1.50%p 적용됩니다. 단, KB웰컴우대금리 1.00%p는 최초 신규 후 1년간
적용됩니다.
② 한도거래대출(종합통장자동대출)에 대하여 개별거래대출과 차등한 별도 가산금리는
적용하지 않으며, 한도소진율에 의한 우대금리 또한 미적용됩니다.
③ 제3조 제1항에도 불구하고 우대금리 적용 후 산출금리가 기준금리+0.60%p
미만인 경우에는 하한금리(기준금리+0.60%p)가 최종 적용됩니다.
동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
(시행일 : 2024. 3. 22)"
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,4,대출기간 및 상환방식,"① 일시상환(한도거래대출(종합통장자동대출) 포함)은 대출기간 1년으로 운영하며, 최장
5년까지 기한연장이 가능합니다.
② 분할상환방식은 원금균등방식 또는 원리금균등방식으로 운영하며, 대출기간 12개월에서
60개월까지 선택 가능합니다(대출기간의 단위(월 또는 연)는 대출방식(대면 또는
비대면)에 따라 다를 수 있음). 거치기간은 별도 운영하지 않습니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,5,인지세의 부담,「KB 제휴 대환 신용대출」 실행에 따라 발생되는 인지세는 국민은행이 전액 부담합니다.
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,6,주택추가매수금지의무,"① 씨티은행에서 고액 신용대출의 사후 용도관리 강화 관련 ‘주택 추가 구입
금지의무추가약정’을 체결한 고객은 「KB 제휴 대환 신용대출」로 대환 이후에도 기존
씨티은행 대출의 신규일로부터 1년 또는 본 대출의 전액 상환 시기중 빠른일자까지
투기지역·투기과열지구·조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을
구입주)하지 않기로 합니다.
주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외
② 제1항을 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여
본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,7,대출 계약의 철회,"① 「금융소비자 보호에 관한 법률」 제 46조 및 관련 규정에서 정하는 바에 따라 대출계약을
철회할 수 있으며, 철회하는 경우 동 조항에 따라 국민은행이 부담한 인지세 등의
제비용은 채무자가 부담하여야 합니다.
② 「KB 제휴 대환 신용대출」의 계약을 철회하더라도 대환 대상이었던 씨티은행 대출의
상환은 국민은행에서 취소되지 않습니다."
KB_bank,대출,KB 제휴 대환 신용대출용Ⅱ 추가약정서,8,기한연장,"① 기한연장시 대출신청시 적용되었던 가산금리가 동일하게 운영됩니다.
② 기한연장시 우대금리는 급여이체 우대금리 1.00%p, 국민은행 신용등급별로 최고
0.50%p 우대하여 최고 1.50%p 적용됩니다.
③ 기한연장 평가시 우대금리 적용 후 산출금리가 기준금리+0.60%p 미만인 경우에는
하한금리(기준금리+0.60%p)가 최종 적용됩니다.
* 급여이체 우대금리는 급여이체 실적에 따라 연동되어 적용되며, 우대금리 적용조건은
대출거래약정서(가계용) 우대금리 및 적용기준에 따릅니다.
** 대고객금리 = 기준금리 + 가산금리 – 우대금리
동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
(시행일 : 2024. 3. 22)
대출거래 상품설 명서
( KB 제휴 대환 신 용대출용 Ⅱ)
1. KB 제휴 대환 신용대출 우대금리 안내
- 신규 및 기한연장 평가시 우대금리 적용 후
하한금리적용 산출금리가 MOR 3개월 변동금리 + 0.6%p보다 낮은 경우에는
하한금리(MOR 3개월 변동금리 + 0.6%p)가 적용됩니다.
2. 씨티은행 대출금리에 따른 금리 적용 예시
※ 상기 예시는 씨티은행 대출금리, MOR 기준금리 및 고객별 우대금리 적용에 따라 달라집니다."
