은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,전문,,"[서식7] 대출거래약정서(보금자리론용)                                        (개정 2025.07.02, 시행 2025.07.02.)
대 출 거 래 약 정 서
(한국주택금융공사 채권유동화목적 보금자리론용)
주식회사            앞                               년      월      일
※은행은 본인에게 이 대출거래약정서(이하“약정서”)상의 중요한 내용을
설명하여야 하며, 은행여신거래기본약관(가계용)(이하“기본약관”)과
이 약정서의 사본을 교부하여야 합니다.
본인은 주식회사      은행(이하 “은행” 이라 한다)과 아래의 조건에
따라 여신거래를 함에 있어 기본약관이 적용됨을 승인하고 다음 각 조항을
준수할 것을 확약합니다. 또한 본인은 한국주택금융공사법에 따른 한국
주택금융공사(이하”공사“)가 수행하는 채권유동화업무에 대하여 이해하고
있으며 동 채권유동화를 위하여 본건 대출 및 담보권이 공사로 양도(신탁
포함)되는 경우에도 기본약관 및 이 약정서에 따라 본건 대출을 상환할
것을 확약합니다."
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,1,거래조건,"거래조건은 다음과 같습니다.(거래방식이 여러 개로 되어 있는 경우
은행직원의 설명을 듣고 해당되는 “□” 내에 “V” 표시 합니다.)
* 은행영업시간 마감이후 자동화기기 등 전자적장치를 통한 계좌입금 분은 당일 중
상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다."
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,2,지연배상금(연체이자),"① 이자⋅분할상환금⋅분할상환원리금을 그 기일에 상환하지 아니한
때에는 상환하여야할 금액에 대하여 곧 지연배상금(연체이자)을 납입
하기로 합니다.
② 대출만료일에 채무를 이행하지 않거나, 기본약관 제7조 또는 이
약정 제6조, 제7조, 제8조제2항 및 제3항, 제12조, 제13조, 제16조,"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,18,및 고객고지사항 제1호에 따라 기한의 이익을 상실한 때에,"는, 그 때부터 대출 잔액에 대하여, 곧 지연배상금(연체이자)을 지급
하기로 합니다. 다만, 2024.10.17일 이후에 실행(채무인수 포함)된
대출원금(약정금액 기준)이 5천만원 미만인 채권이 연체가 발생해 기
한의 이익이 상실된 경우에는, 본 약정에 따를 때 기한의 이익이 상실
되지 않았다면 채무이행의 기한이 도래하지 않은 부분에 대해서는 기한
의 이익이 상실되어 변제기가 도래하더라도 이에 대한 지연배상금을
부과하지 않습니다.(채무이행 기한이 미도래했을 대출잔액에 대해서
는 지연배상금률을 적용하지 않고, 약정이자율만 적용)"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,3,자동이체제도 이용 등,"자동이체제도 등을 이용하여 원리금을 납입할 경우 다음 각호의 사
항을 준수하겠으며 이를 게을리하여 발생하는 일체의 손해는 본인
이 부담하기로 합니다.
1. 원금의 일부 또는 전액상환시에는 은행에 직접 납입하기로 합니다.
2. 자동이체를 위하여 지정계좌의 예금을 출금함에 있어 각종 예금
약관 또는 약정서의 규정에 불구하고 예금청구서 또는 수표없이은
행의 자동이체처리 절차에 의하여 출금하여도 이의를 제기하지 않
기로 합니다.
3. 납부일 현재 지정계좌의 잔액이 청구금액에 미달하여 출금이
불가능할 경우에는 즉시 은행에 직접 납입하기로 합니다.
4. 이 자동이체신청을 변경하고자 하는 경우에는 납입해당일 30
일전까지 자동이체변경신청서를 제출하기로 합니다."
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,9,채권의 양도․신탁 및 피담보채권 ① 이 약정서 작성에 따른 인지세는 각 50%씩 본인과 은행이 부담합니다.,"본인은 공사의 주택저당채권유동화와 관련하여 본건 대출 및 이를  ② 제1항에 의하여 본인이 부담하기로 한 인지세를 은행이 대신
담보하는 근저당권에 대하여 다음 각 호와 같이 동의합니다.지급한 경우에는, 기본약관 제4조에 준하여 곧 갚기로 합니다.
1. 본인은 은행이 이 약정에 따른 대출채권 및 근저당권을 공사에 양도"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,5,담보제공,"하고 공사가 이를 신탁함을 승낙하며, 본인에 대한 별도의 통지 없이도  ① 본인은 본건 담보주택에 은행의 승인 없이 그 소유권 이전행위와
공사는 본인에 대하여 대출채권 및 근저당권을 행사할 수 있음에 동의저당권, 지상권, 전세권, 가등기, 임차권 등 각종 권리의 설정행위를
합니다. 다만, 대출채권 및 근저당권이 실제로 공사로 양도되는 시점까지 하지 않겠으며 제3자로부터 은행의 권리가 침해되는 일이 없도록 하며,
은행에 대하여 가지는 항변사유로 공사에 대항할 수 있습니다.동 주택은 토지와 함께 은행에 담보로 제공하기로 합니다.
- 대출원금(약정금액기준) 3천만원 미만 대출채권에 대하여는 아래와  ② 은행이 요구하는 경우 은행이 동의하는 종류와 금액의 보험에 가입
같이 양도 예정에 따른 통지사항을 적용합니다.하고 그 보험금 청구권에 공사를 위하여 질권 설정하기로 합니다.
※ 대출채권 양도 예정에 따른 통지사항제6조 대출금상환 또는 채무인수 의무
1. 양도대상 채권 : 한국주택금융공사 채권유동화목적 보금자리론 대출을 받은 후 담보로 제공된 주택의 소유권을 이전하는 경우에는
2. 양도예정일 : 대출거래 실행일(건물미등기 후취담보대출은 담보은행이 인정하는 양수인으로 하여금 채무를 인수하게 하거나 담보
취득일)이 속하는 달 말일로부터 4개월 이내. 다만, 공사와 금융주택의 양도로 인하여 담보가치가 하락할 우려가 있다고 인정되는
기관이 협의한 경우 등에는 양도예정일을 연장할 수 있습니다.경우에는 대출금액의 전부를 상환하기로 합니다.
3. 양수 예정인 : 한국주택금융공사제7조 거래조건의 변경
4. 채무조정 : 채무자는 원금상환유예, 지연배상금 감면, 회생·파산  ‘대출상담 및 신청서’ 및 제출자료가 허위, 위․변조, 불성실 작성
등의 채무조정 요청이 가능하며, 양도예정 통지 후 10영업일 내또는 부실자료로 확인되어 이 약정에 따른 대출채권이 공사에
에 채무조정 요청이 없을 경우 예정대로 양도됨(상세한 사항은 금양도되지 않을 경우에는 대출금 전액을 즉시 상환하거나 은행과
융기관에 문의하거나, 공사 홈페이지(www.hf.go.kr) 또는 대한법협의하여 이 약정 제1조에 따른 대출기간․대출금액․대출금리 등
률구조공단(www.klac.or.kr) 홈페이지를 참고)거래조건을 변경할 수 있기로 합니다.
5. 소멸시효 완성 여부 : 부
- 채권유동화에 관한 특약사항 -
2. 본인은 위 1호의 양도 및 신탁과 관련하여 근저당권의 피담보채권은"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,8,주택보유수은행이 이 약정에 따른 대출채권을 공사로 양도하는 시점에 확정됨에,"① 본인은 이 약정에 따른 대출을 신청함에 있어 본인 및 배우동의합니다. 본인은 피담보채권의 확정에 따라 은행으로부터 추가대출
자가 본건 담보주택을 제외하고는 보유한 주택(지분으로 보유한 등을 위하여 본건 근저당권을 더 이상 이용할 수 없음을 이해하며 어
주택, 주택면적이 1/2이상인 복합용도 주택, 조합원 입주권 및 떠한 이의도 제기하지 않을 것임을 확인합니다.
분양권, 보금자리론 담보주택인 오피스텔 포함)이 없음을 확약합니
3. 공사가 사전심사하지 않은 경우(t-보금자리론 등과 같이 금융기관에
다. 다만, 본건 담보주택 외에 기존 1주택(이하 ‘기존주택’)을 보
직접 신청하는 경우) 금융기관은 대출채권 및 근저당권을 공사에 유하고 있거나, 대출실행 후 검증기준일(대출실행일로부터 매 1
양도한 후에도 다음과 같이 채권관리업무(채권의 보전, 회수 및 추심 년)을 기준으로 추가 주택을 보유(이하 ‘추가주택’)할 경우 기존주택
등 관리업무)를 공사로부터 위탁받아 수행할 수 있습니다.※은 3년 내, 추가주택은 검증기준일로부터 6개월 내 처분(이하 ‘처분
※ 채권관리업무 위탁기한’)할 것을 약정합니다.
1. 위탁대상 채권 : 한국주택금융공사 채권유동화목적 보금자리론
* 추가주택을 분양권(조합원 입주권 포함) 또는 상속으로 취득하였
2. 위탁예정일 : 대출거래약정에 따라 대출채권 및 근저당권을 공사에
거나「전세사기피해자 지원 및 주거안정에 관한 특별법」에 따른 양도하는 시점
전세사기피해자 및 동법 제2조제4호다목에 따른 임차인(이하 “전세 3. 수탁예정인 : 대출거래약정에 따른 대출 실행 금융기관
사기피해자등”이라 한다)이 임대인으로부터 임차보증금을 반환받지  4. 채무조정 : 채무자는 원금상환유예, 지연배상금 감면 등의 채무
못해 경·공매로 낙찰받은 추가주택을 취득한 경우 검증기준일로부터 조정 요청 가능하며, 채무조정 요청이 없을 경우 예정대로
3년
위탁됨(상세한 사항은 금융기관에 문의)
➁ 제1항의 약정에 따른 처분사실을 처분기한 내 은행 또는 공 5. 소멸시효 완성 여부 : 부
사에 입증하지 못하는 경우 은행 또는 공사가 처분 여부를 확인 6. 기타 사항 : 채무자는 「개인금융채권의 관리 및 개인금융채무자의
하여 미 처분 시 기한이익 상실을 서면으로 통지하고, 그 통지의 보호에 관한 법률」에서 정한 추심횟수 제한, 연락제한요청권 등
도달일로부터 10일 이상으로 은행 또는 공사가 별도로 정한 기간이 채무자의 권리 행사 및 구제 가능
경과하면 미처분 사실이 확인되는 날 (이하 ‘확인일’)을 기준으로
기한의 이익이 상실되어 즉시 채무 전액을 변제하기로 합니다.
이 경우에 통지 도달의 효력에 관한 사항은 은행여신거래기본약관
- 토지 후취담보에 관한 특약 -제18조(단, 제18조 제2항 단서 중 계좌별 대출원금이 3천만원 미만인
채무자의 기한전 채무변제 통지에 관한 사항은 제외)를 준용합니다. 제10조 토지 미등기 아파트에 대한 근저당권 설정
또한, 확인일로부터 3년 간 보금자리론 신규 이용이 제한됩니다. 본건 대출이 토지 미등기된 아파트를 담보로 한 경우에는 토지
➂ 향후 정부 주택전산망 기타 증명에 의하여 주택 소유에 대한 확약미등기 사유가 없어져 본인이 해당 토지에 대한 소유권을 이전받은
내용이 사실과 다른 것으로 확인되는 경우 본건 대출은 기한의 이익을 즉시 은행이 제1순위 근저당권을 설정할 수 있도록 이에 필요한
상실하며 즉시 이를 변제할 의무를 지기로 합니다.
조치를 곧 이행하기로 합니다.
2. 우대금리는 대출 전액상환일까지 0.2%p입니다. 우대금리는 만
55세 이후에 주택연금 전환 후 전환장려금 형태로 지급됩니다.- 행정전산망 이용 동의 -
3. 주택연금 전환 후 지급되는 우대금리 누적액(전환장려금)은 납부한"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,11,무주택검증ㆍ확인 등을 위한 개인정보 처리*보금자리론 이자액을 기준으로 계산하여 매년 말 연복리로 적립,"본인 및 배우자(세대가 분리된 배우자 및 결혼예정 배우자 포함)의 됩니다. 다만, 보금자리론 이용합계액 2억원 이하 대출실행금액에
무주택 확인, 본인의 전입사실 확인 및 이에 대한 사후검증을 위하여 대해서만 전환장려금이 지급됩니다.
행정전산망 이용에 동의합니다. * 연복리 : 한국주택금융공사가 정하는 이자율(예시:한국은행 고시 정기예금
연평균금리 등), 대출 완제일 해당연도 우대금리는 직전년도 연복리 금리를 적용
*- 대출실행금액이 2억원을 초과하는 경우 우대금리 한도율을 적용
- 결혼예정자에 대한 특약 - * ① 우대금리 한도율(소수점 넷째자리에서 절상) = 2억원 ÷ 대출실행금액"
KB_bank,대출,한국주택금융공사 채권유동화목적 보금자리론용 대출거래약정서,12,결혼사실증명 - 보금자리론이 2건 이상 있는 경우에는 대출실행금액을 모두 합,"산하여 2억원 초과여부를 판단하고, 2억원을 최초로 초과하는  본인은 결혼예정자 자격으로 대출 신청을 하였기에 본건 대출실행일
※당해 보금자리론에 대해서만 우대금리 한도율을 적용로부터 3개월 이내에 배우자가 등재된 주민등록등본을 은행 또는
공사에 제출하기로 합니다. 주민등록등본을 제출하지 않거나 결혼  * ② 우대금리 한도율(소수점 넷째자리에서 절상)
예정자 자격요건에 관한 내용이 사실과 다른 것으로 확인된 경우= (2억원-기 이용중인 보금자리론 대출실행금액 합계액) ÷ 2억원을
본건 대출이 기한이익상실 처리되는 것과, 우대금리 적용으로 인한 최초로 초과하는 당해 보금자리론의 대출실행금액
상환일까지의 이자차액을 전액 반환하는 것에 동의합니다. 4. 우대금리 누적액은 주택연금 보증약정 철회기한(최초 연금지급일로
부터 30일) 경과 후, 주택연금 가입고객 명의 계좌로 기타소득세 등의
원천징수액을 차감한 금액이 지급됩니다.
5. 대출 전액상환일이 속한 달의 말일로부터 3개월이내 주택연금을 - LTV·DTI 우대 적용 특약 -
신청하고, 신청 후 3개월 이내에 주택연금으로 전환하는 경우에"
