은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,1,개요,가계여신 금리인하요구권 안내
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,2,금리인하 요구권이란?,"은행여신거래기본약관(가계용) 제 3조(이자등과 지연배상금) 제9항에 의거 가계대출 사용 고객이 본인의 신용상태에
현저한 변동이 있는 경우 증빙자료를 은행에 제출하고 이를 바탕으로 재평가를 받아 금리변경을 요구할 수 있는 제도를
말합니다. 다만, 은행의 평가 결과에 따라서 금리인하가 되지 않을 수도 있습니다."
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,3,대상 여신,금리인하 요구권은 은행의 개인신용평가시스템(CSS)에 따라 금리가 차등 적용되는 가계대출 사용 고객에 한 합니다.
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,4,적용제외 대상,"① 대출신청시 신용등급이 CSS 1등급이거나, 1등급과 동일한 가산금리(신용원가)를 적용받고 있는 대출
② 재정자금대출, 협약대출(단, 당행 CSS평가등급에 따라 신용원가가 차등 적용되는 상품 제외)
③ 국민주택기금대출
④ 한국주택금융공사 유동화상품 등"
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,5,금리인하 요구사유,"① 직장의 변동 : 당행에서 정하고 있는 직업별 기준에 따름
② 연소득의 변동 : 신규 및 연장시점 대비 현재의 연소득이 현저히 증가한 경우
③ 직위변동 : 신규 및 연장시점 대비 동일 직장 내에서 직위가 상승한 경우
④ 거래실적의 변동 : 당행에서 정하고 있는 KB스타클럽 신규 선정 또는 등급이 상향된 경우
⑤ 기타 : 기타의 사유로 신용등급에 영향을 미칠 수 있는 변동사항이 생기는 경우(부채의 감소 등)"
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,6,신청방법 및 관련서류,"가. 신청방법
① 영업점 신청 : 영업점 관련서류 제출 후 심사 진행 → 대상 여부 확정 시 금리인하요구권 약정
② 비대면 신청 : 인터넷뱅킹/스타뱅킹으로 접속 후 신청 → 대상 여부 확정 시 금리인하요구권 약정
☞ 인터넷뱅킹 : 개인 > 금융상품 > 대출 > 대출관리 > 개인대출 금리인하요구권
스타뱅킹 : 전체메뉴 > 대출 > 관리 > 개인대출 금리인하요구권
나. 신청시 필요서류 (영업점 신청시에 한하며, 비대면 신청의 경우에는 필요서류 스크래핑 등으로 제출)
(1) 금리인하요구권신청서
(2)「개인(신용)정보조회∙수집 ∙이용 ∙제공 동의서」
(3)「금리인하 요구 관련 확인서류」
다. 금리인하시 접수(약정)서류 : 「대출조건변경신청서(기한연장 겸용) 또는 한도거래 추가약정서」"
KB_bank,대출,금리인하요구권안내 및 핵심상품설명서,7,결과 통지,"신청서식 및 관련 확인서류 접수일로부터 5영업일 이내에 「가계대출 금리인하 심사결과 안내」를 다음 방법
으로 통지해 드립니다.
(1) 서면제공 또는 우편발송
(2) SMS(LMS) 통지
(3) E-mail 통지
(4) 유선 통지
기타 자세한 내용은 창구직원 또는 스마트상담부(☎ 1588-9999)로 문의하시거나, KB국민은행 홈페이지(www.kbstar.com)를 참조하시기 바랍니다.
유효기한 2019.04.15.~2021.12.31
가계대출 핵심 상품설명서
※ 핵심 상품설명서는 가계대출 상품의 내용 중 고객님께서 반드시
확인하셔야 하는 중요한 부분에 대해서 안내드리고 있습니다.
자세한 내용은 대출상품별 설명서 등을 통해 확인하시기 바랍니다.
대출금액을 신고목적과 달리 대출금액 1억원을 중도에
사용할 경우, 즉시 상환해야 상환할 경우, 최대 140만원을
할 수 있습니다. 해약금으로 부담해야 할 수
알고 계신가요? 있습니다. 확인하셨나요?
⇒ 은행여신거래기본약관 제5조 ⇒ 대출상품설명서 “3.수수료 등
등을 확인하세요. 비용”을 확인하세요.
대출금리는 대출기간동안 이자를 1개월 이상 미납할
변동될 수 있으며, 어떤 경 경우, 지체된 약정이자가
우에는 이자 부담이 증가할 수 아닌 원금에 연체이자율이
있습니다. 적용됩니다.
알고 계신가요? (예시 : 원금 1억2천만원 ×
연체이자율 연8%×1/12 =
연체이자 80만원)
확인하셨나요?
⇒ 대출상품설명서 “2.대출 이자율”을 ⇒ 대출상품설명서 “6.연체이자율”을
확인하세요. 확인하세요.
이자 등의 경우, 대출계약
금리인하요구권과 대출계약
체결시 약정한 지급시기･
철회권에는 일정한 조건이
방법에 따라 은행에 지급하
요구되며, 요건이 충족되지
셔야 합니다.
않으면 거절될 수 있습니다.
(예시 : 매월 15일 50만원을
확인하셨나요?
대출계좌로 자동이체 등)
확인하셨나요?
⇒ 대출상품설명서 “2.대출 이자율”과 ⇒ 대출약정서 “제1조 거래조건”을
“7.유의사항”을 확인하세요 확인하세요."
