은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,전문,,"추가 약정서
(생활안정자금 주택담보대출 추가약정용)
주식회사 국민은행 앞 20 년 월 일
채 무 자 : (인)
주 소 :
채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년 월 일자
대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다."
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,1,목적,"이 약정서는 주택구입 목적이 아닌 의료비, 교육비 등 생활안정자금 목적으로
대출거래를 하기 위한 약정입니다."
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,2,기 보유 주택,"채무자가 속한 세대주1)의 세대주 또는 세대원이 현재 보유하고 있는
주택(분양권 및 조합원 입주권 등 포함)은 다음과 같습니다.
주1)“세대”라 함은 세대주 및 세대원으로 구성되며, 세대원은 세대별 주민등록표(「출입국관리법」에 따른
외국인 및「재외동포의 출입국과 법적 지위에 관한 법률」에 따른 외국국적동포는 가족관계증명서 등을
포함)상에 배우자, 직계존속(배우자의 직계존속 포함), 직계비속 및 그 배우자를 말하며, 세대분리된
배우자 및 그 배우자와 동일세대를 이루고 있는 직계비속 및 그 배우자를 포함합니다.
① 담보로 제공하는 주택
② 보유 중인 주택 등"
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,3,주택 등의 추가 구입 금지의무 등,"① 채무자가 속한 세대의 세대주 또는 세대원은 본 대출 실행일부터 전액 상환 전까지
제 2조에 명시된 주택 등 외에 추가로 주택 등을 구입주2)하지 않습니다.
주2) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외, 이하 같음
② 채무자는 본 대출 전액 상환 전까지 세대주 또는 세대원에 변경이 생긴 때에는
지체없이 그 변경내용을 은행에 신고하여야 합니다."
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,4,증빙자료,"대출금액이 1억원을 초과할 경우 채무자는 자금 용도 관련 증빙자료를
은행에 제출해야 합니다."
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,5,기한전의 채무변제의무,"다음 각 호의 사유가 발생한 경우 은행여신거래
기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게
되고, 그에 따라 본 대출을 즉시 변제할 의무를 집니다.
1. 채무자가 속한 세대의 세대주 또는 세대원이 본 대출 실행일로부터 전액 상환전까지
제 2조에 명시된 주택 등 외에 추가로 주택(분양권 및 조합원 입주권 등 포함)을
구입한 경우
2. 채무자가 속한 세대의 세대주 또는 세대원이 대출실행일 기준으로 제 2조에
명시되지 않은 주택(분양권 및 조합원 입주권 등 포함)을 보유주3)하고 있는 경우
주3) 다만 대출신청일 이후 상속에 의한 취득은 제외
3. 채무자가 제출한 자금 용도 관련 자료가 사실이 아닌 경우"
KB_bank,대출,생활안정자금 주택담보대출 추가약정용 추가약정서,6,여신거래 약정위반,"다음 각 호의 사유가 발생한 경우 본 대출 완제여부에 관계없이
신용정보 집중기관에 채무자의 약정 위반사실이 제공되며, 향후 3년간 금융기관주4)의
주택 관련 대출주5)이 제한됩니다.
주4) 신용정보의 이용 및 보호에 관한 법률 제25조 제2항 제 1호의 대통령령으로 정하는 금융기관
주5) 「은행업감독규정」<별표6> 제1호에 따른 주택담보대출 및 전세자금대출 등
1. 채무자가 속한 세대의 세대주 또는 세대원이 본 대출 실행일로부터 전액 상환 전에
제 2조에 명시된 주택 등 외에 추가로 주택(분양권 및 조합원 입주권 등 포함)을
구입한 경우"
