은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,전문,,"동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
추가 약정서
(고액 신용대출의 사후 용도관리 강화 관련 추가약정용)
주식회사 국민은행 앞 20 년 월 일
채 무 자 : (인)
주 소 :
채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년 월 일자
대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다."
KB_bank,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,1,목적,"이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을
받아 신용대출 잔액주)(全금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하
기 위한 약정입니다.
주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출
총액으로 간주"
KB_bank,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,2,주택 추가 구입 금지의무,"채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환
시기 중 빠른 일자까지 투기지역·투기과열지구·조정대상지역 내 주택(분양권 및 조합원
입주권 등 포함)을 구입주)하지 않기로 합니다.
주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
KB_bank,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,3,기한전의 채무변제의무,"제2조를 위반한 경우에는 은행여신거래기본약관(가계용)
제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라
본 대출을 변제할 의무를 집니다."
