은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,KB 햇살론17에 따른 추가약정서,전문,,"KB 햇살론17에 따른 추가약정서
본인은 귀행과 체결한 년 월 일자 『대출거래약정』 (이하 “대출약정”이라 한다)
에 추가하여 귀행 및 주식회사 국민행복기금(이하 “기금”)과 다음과 같이 약정한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,1,보증부대출,"본인이 귀행과 체결한 대출약정은 기금이 발급하는 신용보증서를 기초로
한 대출임을 확인하고 다음의 사항에 동의한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,2,대출이자 및 보증료의 계산,"①본인이 귀행 및 기금에 매월 납부하여야 하는 대출원리금과
보증료를 합한 총 상환금은 대출원금에 대하여 대출이자율(______%)과 보증료율(______%)
을 합한 율(______%)을 적용하여 계산한 금액으로 한다.
②제1항에서 정한 바에 따라 본인이 귀행에 매월 납입하여야 할 대출원리금과 보증료를
합한 월상환금을 매월 성실히 납부하기로 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,3,보증료 납입,"본인은 대출약정에서 정한 매 회차별 대출원리금 상환시 기금에 납부하여야
할 보증료를 동시에 납부하기로 한다"
KB_bank,대출,KB 햇살론17에 따른 추가약정서,4,기한전의 채무변제의무,"은행여신거래기본약관 제7조제2항제2호에 불구하고 분할상환금
또는 분할상환원리금의 지급을 3회 이상 연속하여 지체한 때 채무자는 당해 채무의 기한의
이익을 상실하여 곧 이를 갚아야 할 의무를 진다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,5,상환유예,"①본인은 정상상환하고 있는 중에 실직, 질병 또는 사고가 발생한 경우에는
귀행에게 최대 1년 이내의 기간에 대하여 상환유예를 신청할 수 있다.
②상환유예 기간 중에는 대출이자와 보증료만 납부하고 원금상환은 유예되며, 만기일은
연장되지 않는다.
③귀행이 상환유예 결정을 통보한 때에는 기금에 별도로 통보하지 않더라도 기금의 신용보증
조건은 해당 상환유예 조건에 따라 자동으로 변경된 것으로 본다.
④제1항에도 불구하고 본인과 귀행 사이에 상환유예 방법을 다르게 적용하기로 합의한 경우
에는 그 방법에 따를 수 있다.
⑤상환유예 기간 종료 후에는 제2항에 따라 유예된 원금을 잔여기간 중 매월 원리금균등
분할상환 방식에 따라 상환하여야 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,6,성실상환자 금리인하,"①대출을 성실상환한 사람에게는 신용보증 기한에 따라 다음 각
호에 해당하는 보증료율을 추가로 감면할 수 있다.
1. 신용보증 기한이 3년인 경우 1년마다 2.5%포인트
2. 신용보증 기한이 5년인 경우 1년마다 1.0%포인트
②제1항의 “대출을 성실상환한 사람”이란 대출기간이 1년을 초과하는 경우 매 1년 경과시점
부터 과거 1년간 누적연체일수가 30일 이하인 사람을 말하며, 감면일 현재 연체 중인 경우는
제외한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,7,추가약정의 효력,"이 추가약정서에서 정한 사항은 대출약정, 본인과 기금이 체결한
보증거래약정 및 귀행 또는 기금의 약관에 우선하여 적용된다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,8,보증료 자동이체,"본인은 대출금 이자를 자동이체 방식에 의하여 납부하는 경우, 보증료를
대출원리금 자동이체 출금계좌에서 인출하여 수납처리하여 줄 것을 신청하며, 보증료 자동이체와
관련한 사항에 대하여는 대출은행의 자동이체 약관을 따르기로 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,9,기타,"이 추가약정서는 본인과 귀행 및 기금을 대리한 귀행이 체결한 것이다.
본인은 귀행과 『대출거래약정』을 체결함에 있어, 이 추가약정서의 모든 조항을 충분히 이해
하고 아래와 같이 서명 날인합니다.
20 년 월 일
본인(대출받는자) 성 명 : (인)
생년월일(주민등록번호기준) :
주 소 :
주식회사 국민행복기금 및 국민은행 귀중"
