은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,채권양도 임차보증금 입주자 부담금 반환채권 양도용 알아두어야 할 사항,1,채권양도 란,"채권의 동일성을 유지하면서 계약에 의하여 채권을 양도인으로부터 양수인에게 이전하는 것입
니다.
따라서 자기소유의 채권을 타인을 위하여 양도하는 경우, 타인의 채무불이행으로 인하여 자기
재산을 빼앗기게 될 수 있는 위험을 부담하는 행위입니다."
KB_bank,대출,채권양도 임차보증금 입주자 부담금 반환채권 양도용 알아두어야 할 사항,2,담보종류에 따른 책임범위,"「특정채무담보」는 채무자가 채권자에 대하여 부담하는 특정된 채무만을 담보하는 것으로, 그
채무가 연기ㆍ재취급 또는 다른 여신으로 대환 된 때에는 담보하지 않습니다.
「근담보」는 채무자와 채권자 사이에 이미 맺어져 있거나 앞으로 맺게 될 거래계약으로부터 현
재 발생되어 있거나 앞으로 발생할 채무를 채권 최고액의 범위 내에서 담보하게 되는 것으로
세 가지 유형이 있으며, 각 유형에 따른 책임범위는 다음과 같습니다.
「특정 근담보」
특정된 거래계약(예 : 년 월 일자 여신거래약정서)으로부터 계속적으로 발생하는 채무를
담보하며, 그 채무가 기한 연기된 때에도 담보합니다. 그러나 재취급 또는 다른 여신으로 대
환 된 때에는 담보하지 않습니다.
「한정 근담보」
특정한 종류의 거래(예 : 당좌대출거래)에 대하여 이미 맺어져 있거나 앞으로 맺게 될 거래 계
약으로부터 현재 발생되어 있거나 앞으로 발생하게 될 채무를 모두 담보하며, 그 채무의 연기
나 재취급은 물론 같은 종류로 대환 된 때에도 담보합니다. 그러나 다른 종류의 여신으로 대
환 된 때에는 담보하지 않습니다."
KB_bank,대출,채권양도 임차보증금 입주자 부담금 반환채권 양도용 알아두어야 할 사항,3,담보제공자가 연대보증까지 서는 경우,"담보제공자가 연대보증을 별도로 서는 경우, 은행은 양도된 채권 외에 채권양도인의 다른 일반재
산에 대하여도 강제집행을 할 수 있습니다."
KB_bank,대출,채권양도 임차보증금 입주자 부담금 반환채권 양도용 약정서,전문,,"은행은 채권양도인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관
(가계용)과 이 약정서의 사본을 교부하여야 합니다.
근 담 보
채 권 양 도 계 약 서
[임차보증금(입주자 부담금)반환채권 양도용]
담보의 제공은 재산상 손실을 가져올 수도 있는 중요한 법률행위이므로 미리 뒷면 “"
