은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,KB골든라이프 공사주택연금론 확정기간용 추가약정서,전문,,"추 가 약 정 서
(KB골든라이프 공사주택연금론 확정기간用)
주식회사 국민은행 앞 년 월 일
년 월 일자 대출거래약정서에 추가하여 다음과 같이 확약합니다."
KB_bank,대출,KB골든라이프 공사주택연금론 확정기간용 추가약정서,1,월지급금의 지급,"대출금 월지급금은 대출거래약정서 제1조 제9항에도 불구하고, 한국주택금융공사와 본인이 주
택담보노후연금보증약정서로 약정한 시기까지 본인이 지정한 일자에 월지급금을 지급받되, 동
시기 이후부터는 월지급금을 지급받지 아니합니다."
KB_bank,대출,KB골든라이프 공사주택연금론 확정기간용 추가약정서,2,대출이자 납입,"본인은 대출을 신청함에 있어 대출거래약정서 제1조 제10항에 따라 대출이자는 월지급금의 지
급시기에 납입하기로 하며, 제1조에서 정한 월지급금이 지급되지 않는 기간에는 최종 월지급금
대출실행일에 해당하는 날마다 매월 대출이자를 납입하되, 납입일이 은행휴무일(법정공휴일, 근
로자의 날, 토요일 등)인 경우 직전 영업일에 납입합니다."
KB_bank,대출,KB골든라이프 공사주택연금론 확정기간용 추가약정서,3,보증료의 납부,"본인은 대출을 신청함에 있어 대출거래약정서 제4조 제1항 제2호에 따라 연보증료는 개별인출
금 지급일 및 매 월지급금 지급 해당일마다 납부하기로 하며, 제1조에서 정한 월지급금이 지급
되지 않는 기간에는 최종 월지급금 대출실행일에 해당하는 날마다 매월 납부하되, 납부일이 은
행휴무일(법정공휴일, 근로자의 날, 토요일 등)인 경우 직전 영업일에 납부합니다."
