은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,내맘대로 마이너스 한도 증 감액용 추가약정서,전문,,"추 가 약 정 서
(내맘대로통장자동대출 약정한도 증/감액용)
주식회사 국민은행 앞 20 년 월 일"
KB_bank,대출,내맘대로 마이너스 한도 증 감액용 추가약정서,1,용어의 정의,"① “한도소진율”이란 매월 금리산출일 기준 직전 1개월간의 한도약정금액 대비 월평균 대출금사용금액 비율[(매일 대출사용금액÷대출
약정금액)주1)합 ÷ 금리산출일 기준 직전 1개월간 일수”로 계산하며, 소수점 첫째자리에서 절사]을 말하며, 한도소진율은 매월
산정합니다.
② “당초 한도약정금액”이란 한도거래방식 대출한도를 채무자와 은행이 약정한 금액(단, 한도약정 기한연장시 신용평가 결과에 따라
약정한도감액(대출금 상환금액)이 발생하는 경우에는 한도감액 후 한도 약정금액)을 말합니다."
KB_bank,대출,내맘대로 마이너스 한도 증 감액용 추가약정서,2,한도감액에 관한 사항,"① 한도약정일로부터 3개월 이후 매월 금리재산정일 기준 직전 1개월간 한도소진율이 50% 미만인 경우에는 매월 당초 한도 약정
금액의 10%씩 십만원 단위(십만원 미만은 절사)로 최대 50%까지 자동감액 합니다. 다만, 다음 각 1에 해당하는 경우에는 자동
감액이 적용되지 않습니다.
1. 금리재산정일 현재 한도약정금액이 당초 한도약정금액 대비 50% 이하인 경우
2. 금리재산정일 직전 월 평균 한도소진율이 50% 미만이나, 금리재산정일 현재 약정한도의 70% 이상 대출을 사용 중인 경우
② 채무자는 영업점 또는 비대면 채널(인터넷, 모바일 뱅킹)을 이용하여 자동감액과 별도로 자유롭게 약정한도(십만원 단위)를 감액
할 수 있습니다."
KB_bank,대출,내맘대로 마이너스 한도 증 감액용 추가약정서,3,한도증액에 관한 사항,"① 채무자는 당초 한도 약정금액 범위 내에서 영업점 또는 비대면 채널(인터넷, 모바일 뱅킹)을 이용하여 약정한도를 증액할 수 있습니다.
다만, 아래의 각 1에 해당하는 경우에는 약정한도 증액이 제한됩니다.
1. 당행 여신이 연체 중인 경우 (KB카드, 보증채무, 외환 포함)
2. 법원으로부터 파산면책 또는 개인회생절차의 변제계획인가 결정을 받은 경우 및 개인 신용회복제도 신청자 또는 확정자인 경우
3. 당행에 상각(매각) 채권 또는 채무감면 사실이 있는 경우(KB카드 포함)
4. 신용정보집중기관 또는 신용정보회사에 연체정보가 등록된 경우
② 신용대출 상품별 한도증액 가능금액 산출기준은 다음과 같으며 한도감액 이후 한도증액 신청시점에 당행 및 다른 금융기관의 신용
대출이 증가한 경우에는 한도증액이 제한될 수 있습니다.
주 1. 한도약정금액은 일중(00:00 ~24:00) 최저 약정금액으로 하고, 매일의 한도소진율은 100%를 초과할 수 없음.
2. 무궁화신용대출, 선생님든든신용대출, 군인든든신용대출, 닥터론, 로이어론, 에이스전문직무보증대출, STAR CLUB신용대출, 내맘대로마이너스통장 등
3. 직장인든든신용대출, 급여이체신용대출, 가맹점대표신용대출, 사업자가계행복대출, 4대연금신용대출, 평생파트너신용대출, 금융전문인우대대출,
WISE직장인대출, 스마트직장인대출, 리더스 신용대출, 국민행복신용대출, 신용테크론 등"
KB_bank,대출,내맘대로 마이너스 한도 증 감액용 추가약정서,4,기한연장에 관한 사항,"① 기한연장의 경우, 기한연장 신청시점의 약정한도로 기한연장 하기로 합니다. 증액요청시 제3조와 같이 약정한도를 증액 할 수
있고, 이때 증액은 당초 한도약정금액(단, 한도약정 기한연장 신용평가 결과에 따라 약정한도감액(대출금 상환금액)이 발생하는
경우에는 한도감액 후 약정금액)까지 가능합니다.
② 1항에도 불구하고, 신용평가 결과에 따라 약정한도 감액대상에 해당하는 경우에는 당초 대출약정금액을 기준으로 감액하기로 합니다"
