은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,온라인 가계대출 우대금리용 추가약정서,전문,,"(온라인 가계대출 우대금리용)
주식회사 국민은행 앞 20 년 월 일"
KB_bank,대출,온라인 가계대출 우대금리용 추가약정서,1,우대금리 적용,"대출거래약정서(Ⅰ)(가계용) 또는 대출거래약정서(Ⅱ)(종합통장자동대출 및 가계당좌대출용) 제1조
제7항의 대출이자율에 아래의 우대항목 우대금리를 추가 적용하기로 하며, 우대금리 적용기준은 아래
제2조에서 정한 바에 따르기로 합니다."
KB_bank,대출,온라인 가계대출 우대금리용 추가약정서,2,우대금리 세부 적용기준,"① 적용방법
20 년 월 일자 대출거래약정서에 따라 대출실행을 할 때 추천번호가 제공되며, 본인
이외의 고객이 동 추천번호를 입력하여 본인과 동일한 대출상품을 신규로 실행한 경우 본인에게
추천우대금리를 적용합니다.
② 적용시점
제 1 항의 추천우대금리는 본인 이외 고객의 대출실행 시점을 기준으로, 이미 납입한 본인 대출의
최종 이자계산일 다음날부터 적용합니다.
③ 추천번호 유효기간 및 사용횟수
제 1 항의 추천번호는 본인의 대출취급일로부터 3 개월까지만 유효하며, 유효기간 중 1 회만 사용
가능합니다."
