은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,주택도시기금 전세자금대출 이용 중 임차목적물 또는 임대인 변경에 의한 대환대출용 추가약정서,전문,,"은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
추 가 약 정 서
(주택도시기금 전세자금대출 이용 중 임차목적물 또는 임대인 변경에 의한 대환대출용)
주식회사 KB국민은행 앞 년 월 일
본 인 (인)
주 소
본인은 대출기간 중 임차목적물이 변경되거나 동일 임차목적물의 임대인이 공공주택사업자로 변경됨에 따라
(이하 “임차목적물 또는 임대인 변경”이라 한다), 기존 기금 전세자금대출을 대환하고자 KB국민은행과 신규로
약정한 년 월 일자 대출거래약정서(주택도시기금대출:가계용)에 추가하여 다음과 같이 약정합니다."
KB_bank,대출,주택도시기금 전세자금대출 이용 중 임차목적물 또는 임대인 변경에 의한 대환대출용 추가약정서,1,효력의 적용 등,"본건 대환 대출로 기존에 이용 중이던 기금 전세자금대출이 상환되고 임차목적물 또는 임대인 변경에 의한 신규 대출이
실행된다고 하더라도, 임차목적물 또는 임대인 변경에 의한 신규 대출의 적용에 있어 년 월 일자에
최초로 약정한 기금 전세자금대출의 대출거래 약정서, 금리우대 추가약정서, 상품설명서 등에 따른 기존 대출 내용이
그대로 적용 및 유지됩니다. 또한, 임차목적물 또는 임대인 변경에 의한 신규 대출은 신규 대출 형식에도 불구하고
기존 기금 전세자금대출의 기한 연장으로 봅니다.
다만, 대출기간 중 일부상환으로 대출금액이 변경되었거나, 대출기간, 우대금리, 가산금리 변경 등이 있는 경우에는
변경된 사항을 반영하여 적용하기로 합니다.
※ 최초 대출거래약정서·금리우대 추가약정서 사본 1부 첨부
02325003 (2022.10.04 개정)"
