은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,채권유동화목적가계대출용 추가약정서,전문,,"추 가 약 정 서
(채권유동화목적 가계대출용)
주식회사 국민은행 앞 년 월 일
본인은 은행여신거래기본약관(가계용)과 이 추가약정서의 사본을 확실히 수령하였고, 그 주요
내용에 대하여 충분히 듣고 이해하였습니다.
년 월 일자 대출거래약정서에 추가하여 다음과 같이 확약합니다.
본인은 년 월 일자 대출거래약정을 함에 있어 한국주택금융공사법에 따라 한국주택금융공사
(이하 “공사”라 함)가 수행하는 채권유동화 업무에 대하여 이해하고 있으며 동 채권유동화를 위하여 본
건 대출 및 담보권이 공사로 양도(신탁 포함)되는 경우에도 기본약관 및 대출거래약정에 따라 본건 대
출을 상환할 것을 확약하며 공사의 주택저당채권 유동화와 관련하여 다음과 같이 동의합니다."
KB_bank,대출,채권유동화목적가계대출용 추가약정서,1,채권의 양도 및 근저당권의 피담보채권 확정,"본인은 공사의 주택저당채권유동화와 관련하여 본건 대출 및 이를 담보하는 근저당권에 대하
여 다음 각 호와 같이 동의합니다.
1. 본인은 은행이 이 약정에 따른 대출채권 및 근저당권을 공사에 양도하고 공사가 이를 양
수함을 승낙하며, 본인에 대한 별도의 통지없이도 공사는 본인에 대하여 대출채권 및 근
저당권을 행사할 수 있음에 동의합니다. 다만, 대출채권 및 근저당권이 실제로 공사로 양
도되는 시점까지 은행에 대하여 가지는 항변사유로 공사에 대항할 수 있습니다.
2. 본인은 위 1호의 양도 및 양수와 관련하여 근저당권의 피담보채권은 은행이 이 약정에
따른 대출채권을 공사로 양도하는 시점에 확정됨을 동의합니다. 본인은 피담보채권의 확
정에 따라 은행으로부터 추가대출 등을 위하여 본건 근저당권을 더 이상 이용할 수 없음
을 이해하며 이를 확인합니다.
3. 본인은 위 1호의 양도 및 양수와 관련하여 당초 약정시의 대출조건이 만기시까지 그대로
적용됨에 동의합니다."
KB_bank,대출,채권유동화목적가계대출용 추가약정서,2,개인(신용)정보의 제공에 관한 사항,"1. 본인은 개인(신용)정보 조회∙수집∙이용∙제공 동의서에 추가하여 은행이 채권유동화계획을
수행하기 위하여 본건 대출과 관련한 본인의 개인(신용)정보를 대출채권의 양수인(한국주
택금융공사)에게 제공하는 데에 동의합니다.
2. 담보제공자(연대보증인)은 개인(신용)정보 조회∙수집∙이용∙제공 동의서에 추가하여 은행이
채권유동화계획을 수행하기 위하여 본건 대출과 관련한 본인의 개인(신용)정보를 대출채
권의 양수인(한국주택금융공사)에게 제공하는 데에 동의합니다."
KB_bank,대출,채권유동화목적가계대출용 추가약정서,3,주택보유수,"1. 본인은 이 약정에 따른 대출을 신청함에 있어 본인 및 배우자가 본건 담보주택을 제외하
고는 보유한 주택(지분으로 보유한 경우, 복합용도 주택인 경우 주택지분이 1/2이상인 경
우, 조합원 입주권 및 분양권 포함)이 없음을 확약합니다. 다만, 본건 담보주택 외에 아래
와 같이 1주택을 보유한 경우에는 이 주택을 대출실행일로부터 최대 2년 이내(조합원 입
주권 및 분양권의 경우 소유권 이전등기일로부터 2년 이내)에 처분할 것을 약정하며, 위
약정에 따른 처분사실을 은행에 입증하지 못하는 경우 은행으로부터 별도의 통지가 없더
라도 대출 실행일로부터 2년이 경과하는 날에 본건 대출은 기한의 이익을 상실하며 곧
이를 변제할 의무를 지기로 합니다.
2. 또한, 향후 정부 주택전산망 기타 증명에 의하여 주택 소유에 대한 확약내용이 사실과 다
른 것으로 확인되는 경우 은행으로부터 별도의 통지가 없더라도 본건 대출은 기한의 이
익을 상실하며 곧 이를 변제할 의무를 지기로 합니다."
KB_bank,대출,채권유동화목적가계대출용 추가약정서,4,유한책임대출,"1. 유한책임대출은 대출상환책임을 담보주택에만 한정하는 대출(허위나 그 밖의 부정한 방법
등에 의해 취급된 경우 제외)로 채무 불이행시 담보주택 처분에 의한 회수액 이외에 추가
상환 요구가 불가능한 대출을 말합니다.
2. 유한책임대출은 부부합산 연소득 7천만원 이하인 자를 대상으로 합니다.
3. 심사평가 기준에 따라 일정점수 미달인 경우에는 대상에 해당되지 않습니다.
4. 유한책임 대출과 유한책임대출이 아닌 적격대출은 혼용하여 대출할 수 없습니다.
5. 유한책임 적격대출을 이용하는 경우 MCI, MI 등 보험(보증)상품 이용이 불가합니다."
