은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,금리우대 추가약정서,전문,,"은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
금리우대 추가약정서
(주택도시기금 내집마련디딤돌대출)
주식회사 국민은행 앞 년 월 일
본인 (인)
주소
본인은 국민은행(이하 “은행” 이라함)과 약정한 년 월 일자 주택도시기금 내집마련디딤돌 대출거래약정서(한국주택금융공사 채권유동화목적 포함)에
추가하여 다음과 같이 약정합니다."
KB_bank,대출,금리우대 추가약정서,1,금리우대 적용,"“은행”은 본 대출과 관련하여 아래 해당 항목의 요건이 충족되는 경우 대출실행일로부터 각 항목의 기준에 따라 우대금리를 적용하기로 합니다.
(□ 기본 또는 □ 주택보유 이력이 없는 신혼가구, □ 신생아 특례 디딤돌대출 신청가구, □ 청년 주택드림 디딤돌대출 신청가구 중 선택) 단, 우대
금리 적용 상한은 0.5%p(다자녀가구는 0.7%p, 청년 주택드림 디딤돌대출 신청가구는 1.0%p)로 합니다.
□ 기본
□ 주택보유(세대주 및 세대원 전원) 이력이 없는 신혼가구
□ 신생아 특례 디딤돌대출 신청가구
□ 청년 주택드림 디딤돌대출 신청가구"
KB_bank,대출,금리우대 추가약정서,2,금리우대 종료,"제1조의 금리우대 항목 중 청약(종합)저축 가입자 금리우대 요건이 유지되지 않는 경우에는 금리우대 적용이 불가합니다.
02108078 (2025.04.10 개정)"
