은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,주거안정월세대출 상환유예용 추가약정서,전문,,"은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
추 가 약 정 서
(주거안정월세대출 상환유예용)
주식회사 국민은행 앞 년 월 일
본 인 (인)
주 소
본인은 국민은행(이하 “은행” 이라함)과 약정한 년 월 일자 대출거래약정서(주택도시기금대출:가계용)에 추가하여 다음과같이 약정합니다."
KB_bank,대출,주거안정월세대출 상환유예용 추가약정서,1,기한연장,"➀ 기존 월세대출 및 상환유예 기간을 합산하여 2년단위 총 4회 연장 최대 8년까지 가능하며, 1회 상환유예 연장시부터 최
초 상환유예 대출금액의 25% 이상 상환하되 상환하지 않는 경우 상환유예기간 연장이 불가합니다. 다만, 상환유예 연장
시 최초 취급된 상환유예 대출금액의 25% 이상을 유예기간(단, 2회차 연장시 부터는 직전 유예연장기간) 중 상환한 경
우 상환유예 연장이 가능합니다.
9990197 (2024.04.26 개정)"
