은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,주택담보노후연금대출 약정한도증액 및 약정기간연장용 추가약정서,전문,,"동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
주택담보노후연금대출 추가약정서
(약정한도증액 및 약정기간연장용)
주식회사 국민은행 앞
본인은 귀 은행(이하 “은행”이라 합니다)과 체결한 20 년 월 일자 대출거래약정서(Ⅶ) (주택담보노후
대출연금용) (이하 “기존 약정서”라 합니다)에 추가하여 다음 사항을 확약합니다."
KB_bank,대출,주택담보노후연금대출 약정한도증액 및 약정기간연장용 추가약정서,1,목적,"이 약정서는 한국주택금융공사(이하 “공사”라 합니다)로부터 보증을 받아 연금의 방식으로 노후생활자금을
대출받아 이용하는 도중에 약정한도의 증액 및 약정기간 연장이 필요한 경우 별도의 신규대출거래약정서
작성 없이 약정한도 증액과 약정기간 연장을 하기위해 체결하는 약정입니다."
KB_bank,대출,주택담보노후연금대출 약정한도증액 및 약정기간연장용 추가약정서,2,거래조건,"① 대출기한 도래 시 공사와 체결한 「주택담보노후연금보증약정서」 제4조의 절차에 따라 보증채무의
범위를 변경한 경우 별도의 대출거래약정서를 작성하지 않고 그 변경 내용에 따라 대출 약정한도
증액 및 약정기간 연장을 처리 하며, 변경 내용 및 적용금리는 이 약정서에서 정하는 기준에
따르기로 합니다. 대출 약정한도 증액 및 연장 사실에 대하여 공사가 통보를 실시함에 동의합니다.
② 대출잔액이 약정한도의 95%를 초과할 시 공사와 체결한 「주택담보노후연금보증약정서」 제4조의
절차에 따라 보증채무의 범위를 변경 한 경우 별도의 대출거래약정서를 작성하지 않고 그 변경
내용에 따라 대출 약정한도 증액을 처리 하며, 변경 내용 및 적용금리는 이 약정서에서 정하는
기준에 따르기로 합니다. 대출 약정한도 증액 사실에 대하여 공사가 통보를 실시함에 동의합니다.
본인은 추가약정서의 사본을 확실히 수령하고 주요내용에 대하여 충분한 설명을 듣고 이해하였음.
본인(채무자) : (인)
배우자(채무인수자) : (인)
년 월 일
본인(채무자) : (인)
주소 :
배우자(채무인수자) : (인)
주소 :"
