은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,전문,,"추 가 약 정 서
(월상환액 고정형 주택담보대출용)
은행은 본인 및 담보제공자에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관 및 본
약정서의 사본 1부를 교부하여야 합니다.
주식회사 국민은행 귀하 20 년 월 일
본 인 : (인)
주 소 :
채무자 본인은 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한
20 년 월 일자 대출거래약정서(Ⅰ)(가계용) 등에 추가하여 다음과 같이 약정합니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,1,목적,"이 추가약정서는 월상환액 고정형 주택담보대출 취급시 대출 취급시점
부터 10년간(이하 ‘월상환액 고정기간’이라 합니다.) 월상환액을 고정하고, 초과이자
발생을 최소화하기 위해 월상환액 고정기간 동안 금리상승폭을 제한하는 대신 그에
따른 프리미엄을 고객이 부담하기로 하는 약정을 체결하기 위한 것입니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,2,월상환액 고정기간 등,"① 20 년 월 일자 대출거래약정서(Ⅰ)(가계용)
제 조에도 불구하고 본 건 주택담보대출의 월상환액은 ‘월상환액 고정기간’ 동안 1회차의
원금과 이자를 합친 금액(이하 ‘월상환 약정금액’이라 합니다.)으로 고정됩니다.
② 월상환액 고정기간 만료 시점의 대출잔액은 월상환액 고정기간 동안 고객이 납부한
원금과 이자에 따라 달라집니다.
③ 월상환액 고정기간 만료 후 부터는 원리금균등분할상환 방식의 변동금리 대출과
같이 20 년 월 일자 대출거래약정서(Ⅰ)(가계용)의 내용에 따라 월상환액
고정기간 만료 시점의 대출잔액 및 기준금리 등을 고려하여 매월 상환액이
( )개월 단위로 변동됩니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,3,금리상한 적용,"월 상 환 액 고 정 기 간 동 안 기 준 금 리 의 상 승 폭 은 최 대
( )%p･ 매 연간 ( )%p를 초과하지 않으며, 월상환액 고정기간 만료 후
부터는 기준금리 상승분을 반영한 금리를 적용합니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,4,금리상한 적용에 따른 프리미엄,"제3조에 따른 금리상한을 적용하기 위하여
대출 취급시점의 대출금리에 프리미엄에 해당하는 ( )%p가 가산되어 월상환액
고정기간 동안 적용됩니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,5,초과이자,"제3조에 따른 금리상한 적용에도 불구하고 월상환액 고정기간 중 특정
월에 발생한 이자가 ‘월상환 약정금액’을 초과하여 발생하는 경우 은행은 초과이자를
받지 않습니다."
KB_bank,대출,월상환액 고정형 주택담보대출용 추가약정서,6,기타사항,"제2조부터 제5조까지의 내용을 제외한 대출이자율, 이자 및 지연
배상금계산방법, 우대금리 및 적용기준 등의 사항은 20 년 월 일 작성한
은행여신거래기본약관 및 대출거래약정서(Ⅰ)(가계용) 등에 따릅니다.
본인은 상기 추가 약정내용을 확약하고, 은행여신거래기본약관 및 본 약정서 사본 1부를 확실히 수령하였으며,
그 내용에 대하여 충분한 설명을 듣고 잘 이해하였음.
본 인 : (인)
대출거래 상품설명서
(월상환액 고정형 주택담보대출용)
1. 월상환액 고정형 주택담보대출
- “월상환액 고정형 주택담보대출”이라 함은 월상환액 고정기간동안 대출금리
상승으로 이자상환액이 증가할 경우 원금 상환액을 줄여 월상환액을 유지하고,
월상환액 고정기간 종료시 상환되지 못한 원금은 잔여 대출원금에 포함되어
일반적인 분할상환 방식의 변동금리 주택담보대출로 전환되는 대출을 의미합니다.
2. 월상환액 고정기간
- “월상환액 고정기간”이라 함은 대출기간 중 이자와 원금을 포함한 1회차의
월상환액이 고정되는 대출취급시점부터 10년간의 기간을 의미합니다.
3. 금리상한
- “금리상한”이라 함은 월상환액 고정기간 동안 금리의 상승폭을 일정 범위내
로 제한하여 채무자의 상환부담 급증을 방지하는 것을 말합니다.
4. 프리미엄
- “프리미엄”이라함은 시장금리 상승에 따라 은행이 부담하는 이자율변동 위험
을 일부 반영하는 가산금리로 채무자가 은행에 지불하는 비용을 의미합니다.
5. 금리 변동시 상환부담 예시
< 금리 변동시 상환부담 예시 (대출원금 2억원, 15년 만기 기준) >
취금시점 142.9만원
원금(비율)/ 84.6(59%)/
이자(비율) 58.3(41%)
1년후 138.4만원
원금(비율)/ 91.0(66%)/
이자(비율) 47.4(34%)
5년후 138.4만원
원금(비율)/ 102.6(74%)/
이자(비율) 35.8(26%)
10년
경과후 7,702.7만원
남은원금
(A대비) (-156.7만원)
- 상기 예시는 실제 대출금리, 만기, 원금 등에 따라 달라질 수 있습니다."
