은행명,상품명,종류,이율구분,조건,금리
우리은행,P-Rate연동대출,대출,기본,조건없음,9
우리은행,당좌대출,대출,기본,조건없음,2.56
우리은행,우리 FLEX 정기예금,예금,기본,1개월이상 3개월미만,2.2
우리은행,우리 FLEX 정기예금,예금,기본,3개월이상 6개월미만,2.25
우리은행,우리 FLEX 정기예금,예금,기본,6개월이상 1년미만,2.3
우리은행,우리 FLEX 정기예금,예금,기본,1년이상 2년미만,2.65
우리은행,우리 FLEX 정기예금,예금,기본,2년이상 3년미만,2.8
우리은행,우리 FLEX 정기예금,예금,기본,3년제,2.9
우리은행,WON플러스 예금,예금,기본,1개월이상 3개월미만,2.45
우리은행,WON플러스 예금,예금,기본,3개월이상 6개월미만,2.45
우리은행,WON플러스 예금,예금,기본,6개월이상 12개월미만,2.55
우리은행,WON플러스 예금,예금,기본,12개월,2.55
우리은행,WON플러스 예금,예금,기본,12개월초과 24개월미만,2.55
우리은행,WON플러스 예금,예금,기본,24개월이상 36개월미만,2.4
우리은행,WON플러스 예금,예금,기본,36개월,2.4
우리은행,우리 첫거래우대 정기예금,예금,기본,6개월 이상 12개월 미만,1.8
우리은행,우리 첫거래우대 정기예금,예금,기본,12개월 이상 24개월 미만,1.8
우리은행,우리 첫거래우대 정기예금,예금,기본,24개월 이상 36개월 미만,1.6
우리은행,우리 첫거래우대 정기예금,예금,기본,36개월,1.6
우리은행,우리 SUPER 정기예금,예금,기본,1개월이상 3개월미만,1.95
우리은행,우리 SUPER 정기예금,예금,기본,3개월이상 6개월미만,2.05
우리은행,우리 SUPER 정기예금,예금,기본,6개월이상 12개월미만,2.1
우리은행,우리 SUPER 정기예금,예금,기본,12개월이상 24개월미만,2.15
우리은행,우리 SUPER 정기예금,예금,기본,24개월이상 36개월미만,2.15
우리은행,우리 SUPER 정기예금,예금,기본,36개월제,2.15
우리은행,WON 기업정기예금,예금,기본,1개월이상 2개월미만,2.53
우리은행,WON 기업정기예금,예금,기본,2개월이상 3개월미만,2.54
우리은행,WON 기업정기예금,예금,기본,3개월이상 4개월미만,2.55
우리은행,WON 기업정기예금,예금,기본,4개월이상 5개월미만,2.56
우리은행,WON 기업정기예금,예금,기본,5개월이상 6개월미만,2.56
우리은행,WON 기업정기예금,예금,기본,6개월이상 7개월미만,2.57
우리은행,WON 기업정기예금,예금,기본,7개월이상 8개월미만,2.58
우리은행,WON 기업정기예금,예금,기본,8개월이상 9개월미만,2.59
우리은행,WON 기업정기예금,예금,기본,9개월이상 10개월미만,2.6
우리은행,WON 기업정기예금,예금,기본,10개월이상 11개월미만,2.6
우리은행,WON 기업정기예금,예금,기본,11개월이상 12개월미만,2.61
우리은행,WON 기업정기예금,예금,기본,12개월이상 13개월미만,2.62
우리은행,WON 기업정기예금,예금,기본,13개월이상 14개월미만,2.62
우리은행,WON 기업정기예금,예금,기본,14개월이상 15개월미만,2.6
우리은행,WON 기업정기예금,예금,기본,15개월이상 16개월미만,2.6
우리은행,WON 기업정기예금,예금,기본,16개월이상 17개월미만,2.59
우리은행,WON 기업정기예금,예금,기본,17개월이상 18개월미만,2.59
우리은행,WON 기업정기예금,예금,기본,18개월이상 19개월미만,2.57
우리은행,WON 기업정기예금,예금,기본,19개월이상 20개월미만,2.57
우리은행,WON 기업정기예금,예금,기본,20개월이상 21개월미만,2.56
우리은행,WON 기업정기예금,예금,기본,21개월이상 22개월미만,2.56
우리은행,WON 기업정기예금,예금,기본,22개월이상 23개월미만,2.54
우리은행,WON 기업정기예금,예금,기본,23개월이상 24개월미만,2.54
우리은행,WON 기업정기예금,예금,기본,24개월이상 25개월미만,2.53
우리은행,WON 기업정기예금,예금,기본,25개월이상 26개월미만,2.54
우리은행,WON 기업정기예금,예금,기본,26개월이상 27개월미만,2.55
우리은행,WON 기업정기예금,예금,기본,27개월이상 28개월미만,2.56
우리은행,WON 기업정기예금,예금,기본,28개월이상 29개월미만,2.57
우리은행,WON 기업정기예금,예금,기본,29개월이상 30개월미만,2.58
우리은행,WON 기업정기예금,예금,기본,30개월이상 31개월미만,2.6
우리은행,WON 기업정기예금,예금,기본,31개월이상 32개월미만,2.61
우리은행,WON 기업정기예금,예금,기본,32개월이상 33개월미만,2.62
우리은행,WON 기업정기예금,예금,기본,33개월이상 34개월미만,2.63
우리은행,WON 기업정기예금,예금,기본,34개월이상 35개월미만,2.64
우리은행,WON 기업정기예금,예금,기본,35개월이상 36개월미만,2.65
우리은행,WON 기업정기예금,예금,기본,36개월,2.66
우리은행,ISA정기예금,예금,기본,3개월,2.05
우리은행,ISA정기예금,예금,기본,6개월,2.2
우리은행,ISA정기예금,예금,기본,1년,2.44
우리은행,ISA정기예금,예금,기본,2년,2.14
우리은행,ISA정기예금,예금,기본,3년,2.24
우리은행,두루두루정기예금,예금,기본,1개월회전,1.65
우리은행,두루두루정기예금,예금,기본,2개월회전,1.65
우리은행,두루두루정기예금,예금,기본,3개월회전,1.7
우리은행,두루두루정기예금,예금,기본,6개월회전,1.75
우리은행,두루두루정기예금,예금,기본,12개월회전,1.95
우리은행,정기예금,예금,기본,1개월이상 3개월미만,1.8
우리은행,정기예금,예금,기본,3개월이상 6개월미만,1.85
우리은행,정기예금,예금,기본,6개월이상 1년미만,1.9
우리은행,정기예금,예금,기본,1년이상 2년미만,1.95
우리은행,정기예금,예금,기본,2년이상 3년미만,2.05
우리은행,정기예금,예금,기본,3년,2.05
우리은행,정기예금,예금,기본,3년초과 5년이하,2.15
우리은행,삼성월렛머니 우리 통장,예금,기본,기본금리,0.1
우리은행,삼성월렛머니 우리 통장,예금,기본,"200만원 이하 최고, 25년 12월 31일까지 이전 신규 가입",3.5
우리은행,삼성월렛머니 우리 통장,예금,기본,200만원 초과 금액,0.1
우리은행,Npay 우리 통장,예금,기본,기본금리,0.1
우리은행,Npay 우리 통장,예금,기본,200만원 이하 최고,4
우리은행,Npay 우리 통장,예금,기본,200만원 초과 금액,0.1
우리은행,우리 더모아 사업자 통장,예금,기본,기본금리,0.1
우리은행,우리 더모아 사업자 통장,예금,기본,"1,000만원 이하 잔액",2.1
우리은행,우리 더모아 사업자 통장,예금,기본,"1,000만원 초과 잔액",0.1
우리은행,CJ PAY 우리 통장,예금,기본,기본금리,0.1
우리은행,CJ PAY 우리 통장,예금,기본,200만원 이하 최고,3
우리은행,CJ PAY 우리 통장,예금,기본,200만원 초과 금액,0.1
우리은행,우월한 월급 통장,예금,기본,기본금리,0.1
우리은행,우월한 월급 통장,예금,기본,200만원 이하 최고,3
우리은행,우월한 월급 통장,예금,기본,200만원 초과 금액,0.1
우리은행,우리 국민연금 우대 통장,예금,기본,기본금리,0.1
우리은행,우리 국민연금 우대 통장,예금,기본,100만원 이하 최고,1.6
우리은행,우리 국민연금 우대 통장,예금,기본,100만원 초과 금액,0.1
우리은행,WON 기업통장,예금,기본,기본금리,0.1
우리은행,우리사장님e편한통장,예금,기본,기본금리,0.1
우리은행,WON 통장,예금,기본,약정,0.1
우리은행,우리CUBE통장,예금,기본,약정,0.1
우리은행,우리 SUPER주거래 통장,예금,기본,약정,0.1
우리은행,우리사랑나누미통장,예금,기본,기본금리,0.1
우리은행,우리사랑나누미통장,예금,기본,100만원 이하 최고,0.3
우리은행,우리사랑나누미통장,예금,기본,100만원 초과 금액,0.2
우리은행,우리동네 어린이집 통장,예금,기본,50만원 미만,0
우리은행,우리동네 어린이집 통장,예금,기본,50만원 이상 기본금리,0.1
우리은행,우리동네 어린이집 통장,예금,기본,50만원 이상 5천만원 미만,0.3
우리은행,우리동네 어린이집 통장,예금,기본,5천만원 이상,0.3
우리은행,저축예금,예금,기본,기본금리,0.1
우리은행,보통예금,예금,기본,기본금리,0.1
우리은행,우리닷컴통장,예금,기본,기본금리,0.1
우리은행,고단백 MMDA,예금,기본,1천만원 미만 개인,0
우리은행,고단백 MMDA,예금,기본,1천만원 이상 3천만원 미만 개인,0.1
우리은행,고단백 MMDA,예금,기본,3천만원 이상 5천만원 미만 개인,0.25
우리은행,고단백 MMDA,예금,기본,5천만원이상 1억원미만 개인,0.3
우리은행,고단백 MMDA,예금,기본,1억원 이상 개인,0.35
우리은행,고단백 MMDA,예금,기본,100일초과건별1천만원이상,0.4
우리은행,고단백 MMDA,예금,기본,"1억원 미만 개인사업자, 기업",0
우리은행,고단백 MMDA,예금,기본,"1억원 이상 10억원 미만 개인사업자, 기업",0.1
우리은행,고단백 MMDA,예금,기본,"10억원 이상 50억원 미만 개인사업자, 기업",0.3
우리은행,고단백 MMDA,예금,기본,50억원 이상,0.35
우리은행,고단백 MMDA,예금,기본,"100일초과건별1억원이상 개인사업자, 기업",0.4
우리은행,기업자유예금,예금,기본,기본금리,0.1
우리은행,개인MMDA,예금,기본,5백만원 미만,0
우리은행,개인MMDA,예금,기본,5백만원 이상 3천만원 미만,0.1
우리은행,개인MMDA,예금,기본,3천만원 이상 5천만원 미만,0.25
우리은행,개인MMDA,예금,기본,5천만원 이상,0.3
우리은행,기업MMDA,예금,기본,7일 미만,0
우리은행,기업MMDA,예금,기본,7일 이상 1억원 미만,0
우리은행,기업MMDA,예금,기본,7일 이상 1억 이상 5억원 미만,0.1
우리은행,기업MMDA,예금,기본,7일 이상 5억 이상 10억원 미만,0.25
우리은행,기업MMDA,예금,기본,7일 이상 10억원 이상,0.3
우리은행,우리금융 다함께 적금,적금,기본,12개월,4
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부",4.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통 장에서 우리투자증권 계좌로 1회 이상 이체",4.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리 마이데이터 서비스 가입하고 만기까지 유지",4.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통 장에서 우리투자증권 계좌로 1회 이상 이체",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리 마이데이터 서비스 가입하고 만기까지 유지",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리금융그룹 계열사 마케팅 동의",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리 마이데이터 서비스 가입하고 만기까지 유지",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리금융그룹 계열사 마케팅 동의",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리금융그룹 계열사 마케팅 동의",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리 마이데이터 서비스 가입하고 만기까지 유지",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리금융그룹 계열사 마케팅 동의",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통 장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통 장에서 우리투자증권 계좌로 1회 이상 이체, 우리금융그룹 계열사 마케팅 동의",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리금융그룹 계열사 마케팅 동의",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부,우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",5.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지",6.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리금융그룹 계열사 마케팅 동의",6.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",6.5
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",6
우리은행,우리금융 다함께 적금,적금,우대,"12개월, 우리은행 통장에서 우리카드사 신용체크카드 결제 5회 이상, 우리은행 통장에서 동양생명 또는 ABL생 명 보험료를 1회 이상 납부, 우리은행 통장에서 우리투자증권 계좌로 1회 이상 이체, 우리 마이데이터 서비스 가입하고 만기까지 유지, 우리금융그룹 계열사 마케팅 동의",7
우리은행,우리 광복80주년 적금,적금,기본,"12개월, 기본금리",2
우리은행,우리 광복80주년 적금,적금,우대,"12개월, 국가 유공자 본인, 독립유공자 및 그 유족",6.15
우리은행,우리 광복80주년 적금,적금,우대,"12개월, 직전 6개월 동안 우리은행 예적금 미보유",4
우리은행,삼성월렛머니 우리 적금,적금,기본,"6개월, 기본금리",2.5
우리은행,삼성월렛머니 우리 적금,적금,우대,"6개월, 우대이율 추가",7.5
우리은행,삼성월렛머니 우리 적금,적금,기본,"12개월, 기본금리",2.5
우리은행,삼성월렛머니 우리 적금,적금,우대,"12개월, 우대이율 추가",7.5
우리은행,Npay 우리 적금,적금,기본,6개월,4.5
우리은행,우리WON모바일 적금,적금,기본,12개월,3
우리은행,우리WON모바일 적금,적금,우대,"12개월,우리 WON 모바일 가입",6
우리은행,우리WON모바일 적금,적금,우대,"12개월,통신비 자동이체",4
우리은행,우리WON모바일 적금,적금,우대,"12개월,우리 WON 모바일 가입, 통신비 자동이체",7
우리은행,원비즈플라자 멤버십 적금,적금,기본,12개월,1.2
우리은행,원비즈플라자 멤버십 적금,적금,우대,"12개월, 우대이율 추가",4.2
우리은행,N일 적금(100일),적금,우대,"100일, 일 1천원 이상 3만원 이하",1.8
우리은행,N일 적금,적금,우대,1개월 이상 7개월 미만,1.8
우리은행,N일 적금(31일),적금,우대,"31일, 일 1천원 이상 3만원 이하",1.8
우리은행,N일 적금(200일),적금,우대,"200일, 일 1천원 이상 3만원 이하",1.8
우리은행,우리 청년도약계좌,적금,기본,5년,4.5
우리은행,우리 아이행복 적금2,적금,기본,1년,2.45
우리은행,N일 적금(100일),적금,우대,"100일, 일 1천원 이상 3만원 이하, 우대이율 추가",4.8
우리은행,N일 적금,적금,우대,"1개월 이상 7개월 미만, 우대이율 추가",4.8
우리은행,N일 적금(31일),적금,우대,"31일, 일 1천원 이상 3만원 이하, 우대이율 추가",4.8
우리은행,N일 적금(200일),적금,우대,"200일, 일 1천원 이상 3만원 이하, 우대이율 추가",4.8
우리은행,우리 청년도약계좌,적금,우대,"5년, 우대이율 추가",6
우리은행,우리 아이행복 적금2,적금,우대,"1년, 우대이율 추가",3.65
우리은행,우리 (영업점명) 적금,적금,기본,1년,3.3
우리은행,우리 (업체명 임직원) 적금,적금,기본,1년,2.35
우리은행,우리 (업체명 임직원) 적금,적금,우대,"1년, 우대이율 추가",2.85
우리은행,WON 적금,적금,기본,1년,2.95
우리은행,WON 적금,적금,우대,"1년, WON통장우리꿈통장에서 출금하여 가입",3.05
우리은행,WON 적금,적금,우대,"1년, 만기해지 시 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우",3.05
우리은행,WON 적금,적금,우대,"1년, WON통장우리꿈통장에서 출금하여 가입, 만기해지 시 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우",3.15
우리은행,우리은행 장병내일준비적금,적금,기본,1개월 이상 6개월 미만,3.7
우리은행,우리은행 장병내일준비적금,적금,기본,6개월 이상 12개월 미만,4
우리은행,우리은행 장병내일준비적금,적금,기본,12개월 이상 15개월 미만,4.3
우리은행,우리은행 장병내일준비적금,적금,기본,15개월 이상 24개월 미만,5
우리은행,우리은행 장병내일준비적금,적금,우대,"1개월 이상 6개월 미만, 우리은행 가입 기간 3개월 미만",4.1
우리은행,우리은행 장병내일준비적금,적금,우대,"6개월 이상 12개월 미만, 우리은행 가입 기간 3개월 미만",4.4
우리은행,우리은행 장병내일준비적금,적금,우대,"12개월 이상 15개월 미만, 우리은행 가입 기간 3개월 미만",4.7
우리은행,우리은행 장병내일준비적금,적금,우대,"15개월 이상 24개월 미만, 우리은행 가입 기간 3개월 미만",5.4
우리은행,우리은행 장병내일준비적금,적금,우대,"1개월 이상 6개월 미만, 우리은행 가입 기간 3개월 이상",4.7
우리은행,우리은행 장병내일준비적금,적금,우대,"6개월 이상 12개월 미만, 우리은행 가입 기간 3개월 이상",5
우리은행,우리은행 장병내일준비적금,적금,우대,"12개월 이상 15개월 미만, 우리은행 가입 기간 3개월 이상",5.3
우리은행,우리은행 장병내일준비적금,적금,우대,"15개월 이상 24개월 미만, 우리은행 가입 기간 3개월 이상",6
우리은행,청년 주택드림 청약통장,적금,기본,"1개월 이내, 청약 미당첨",0
우리은행,청년 주택드림 청약통장,적금,기본,"1개월 초과 1년 미만, 청약 미당첨",2.3
우리은행,청년 주택드림 청약통장,적금,기본,"1년 이상 2년 미만, 청약 미당첨",2.8
우리은행,청년 주택드림 청약통장,적금,기본,"2년 이상 10년 이내, 청약 미당첨",4.5
우리은행,청년 주택드림 청약통장,적금,우대,"1개월 초과 1년 미만, 청약 당첨으로 인한 해지",3.7
우리은행,청년 주택드림 청약통장,적금,우대,"1년 이상 2년 미만, 청약 당첨으로 인한 해지",4.2
우리은행,청년 주택드림 청약통장,적금,기본,10년 초과,3.1
우리은행,우리 SUPER주거래 자유적금,적금,기본,1년,2.15
우리은행,우리 SUPER주거래 자유적금,적금,기본,2년,2.15
우리은행,우리 SUPER주거래 자유적금,적금,기본,3년,2.15
우리은행,우리 SUPER주거래 적금,적금,기본,1년,2.15
우리은행,우리 SUPER주거래 적금,적금,기본,2년,2.15
우리은행,우리 SUPER주거래 적금,적금,기본,3년,2.15
우리은행,우리 SUPER주거래 자유적금,적금,기본,1년,3.55
우리은행,우리 SUPER주거래 자유적금,적금,기본,2년,3.55
우리은행,우리 SUPER주거래 자유적금,적금,기본,3년,3.55
우리은행,우리 SUPER주거래 적금,적금,기본,1년,3.55
우리은행,우리 SUPER주거래 적금,적금,기본,2년,3.55
우리은행,우리 SUPER주거래 적금,적금,기본,3년,3.55
우리은행,우리아이행복 주택청약종합저축,적금,기본,1개월 이내,0
우리은행,우리아이행복 주택청약종합저축,적금,기본,1개월 초과 1년 미만,2.3
우리은행,우리아이행복 주택청약종합저축,적금,기본,1년 이상 2년 미만,2.8
우리은행,우리아이행복 주택청약종합저축,적금,기본,2년 이상,3.1
우리은행,우리사랑나누미적금,적금,기본,6개월 이상 1년 미만,1.95
우리은행,우리사랑나누미적금,적금,기본,1년 이상 2년 미만,2.35
우리은행,우리사랑나누미적금,적금,기본,2년 이상 3년 미만,1.9
우리은행,우리사랑나누미적금,적금,기본,3년,1.95
우리은행,주택청약종합저축,적금,기본,1개월 이내,0
우리은행,주택청약종합저축,적금,기본,1개월 초과 1년 미만,2.3
우리은행,주택청약종합저축,적금,기본,1년 이상 2년 미만,2.8
우리은행,주택청약종합저축,적금,기본,2년 이상,3.1
우리은행,우리자유적금,적금,기본,6개월 이상 1년 미만,2.05
우리은행,우리자유적금,적금,기본,1년 이상 2년 미만,2.25
우리은행,우리자유적금,적금,기본,2년 이상 3년 미만,2.25
우리은행,우리자유적금,적금,기본,3년,2.3
우리은행,정기적금,적금,기본,6개월 이상 1년 미만,2.25
우리은행,정기적금,적금,기본,1년 이상 2년 미만,2.45
우리은행,정기적금,적금,기본,2년 이상 3년 미만,2.5
국민은행,KB Star 정기예금,예금,기본,1개월이상 3개월미만,1.8
국민은행,KB Star 정기예금,예금,기본,3개월이상  6개월미만,2
국민은행,KB Star 정기예금,예금,기본,6개월이상  9개월미만,2.1
국민은행,KB Star 정기예금,예금,기본,9개월이상  12개월미만,2.1
국민은행,KB Star 정기예금,예금,기본,12개월이상  24개월미만,2.15
국민은행,KB Star 정기예금,예금,기본,24개월이상  36개월미만,2.2
국민은행,KB Star 정기예금,예금,기본,36개월,2.2
국민은행,KB Star 정기예금,예금,우대,"1개월이상 3개월미만, 신규 시 금리우대쿠폰을 적용",2.45
국민은행,KB Star 정기예금,예금,우대,"3개월이상  6개월미만, 신규 시 금리우대쿠폰을 적용",2.45
국민은행,KB Star 정기예금,예금,우대,"6개월이상  9개월미만, 신규 시 금리우대쿠폰을 적용",2.55
국민은행,KB Star 정기예금,예금,우대,"9개월이상  12개월미만, 신규 시 금리우대쿠폰을 적용",2.55
국민은행,KB Star 정기예금,예금,우대,"12개월이상  24개월미만, 신규 시 금리우대쿠폰을 적용",2.55
국민은행,KB Star 정기예금,예금,우대,"24개월이상  36개월미만, 신규 시 금리우대쿠폰을 적용",2.4
국민은행,KB Star 정기예금,예금,우대,"36개월, 신규 시 금리우대쿠폰을 적용",2.4
국민은행,KB WELCOME통장,예금,기본,영업점에 고시한 예금과목별 기본이율 적용,0.1
국민은행,국민수퍼정기예금(개인),예금,기본,"1개월이상3개월미만,만기지급식확정금리",1.65
국민은행,국민수퍼정기예금(개인),예금,기본,"3개월이상6개월미만,만기지급식확정금리",2
국민은행,국민수퍼정기예금(개인),예금,기본,"6개월이상1년미만,만기지급식확정금리",2
국민은행,국민수퍼정기예금(개인),예금,기본,"1년이상2년미만,만기지급식확정금리",2.05
국민은행,국민수퍼정기예금(개인),예금,기본,"2년이상3년미만,만기지급식확정금리",2.1
국민은행,국민수퍼정기예금(개인),예금,기본,"3년,만기지급식확정금리",2.2
국민은행,국민수퍼정기예금(개인),예금,기본,"3개월이상6개월미만,월이자지급식확정금리",1.9
국민은행,국민수퍼정기예금(개인),예금,기본,"6개월이상1년미만,월이자지급식확정금리",1.9
국민은행,국민수퍼정기예금(개인),예금,기본,"1년이상2년미만,월이자지급식확정금리",1.95
국민은행,국민수퍼정기예금(개인),예금,기본,"2년이상3년미만,월이자지급식확정금리",2
국민은행,국민수퍼정기예금(개인),예금,기본,"3년,월이자지급식확정금리",2.1
국민은행,국민수퍼정기예금(개인),예금,기본,"1년이상2년미만,월이자복리식확정금리",1.95
국민은행,국민수퍼정기예금(개인),예금,기본,"2년이상3년미만,월이자복리식확정금리",2
국민은행,국민수퍼정기예금(개인),예금,기본,"3년,월이자복리식확정금리",2.1
국민은행,국민수퍼정기예금(개인),예금,기본,"1,2개월3090일, 단위기간 금리연동형 적용금리",1.6
국민은행,국민수퍼정기예금(개인),예금,기본,"3,4,5개월91180일, 단위기간 금리연동형 적용금리",1.9
국민은행,국민수퍼정기예금(개인),예금,기본,"6개월181일, 단위기간 금리연동형 적용금리",2.1
국민은행,일반정기예금,예금,기본,"1개월이상3개월미만, 만기지급식확정금리",1.4
