은행명,상품명,종류,이율구분,조건,금리
우리은행,단기대출,대출,기본,7일 이내,2.5
우리은행,단기대출,대출,기본,15일 이내,2.51
우리은행,단기대출,대출,기본,1개월 미만,2.52
우리은행,단기대출,대출,기본,1개월 이상,2.52
우리은행,단기대출,대출,기본,2개월 이상,2.53
우리은행,단기대출,대출,기본,3개월 이상,2.54
우리은행,단기대출,대출,기본,4개월 이상,2.55
우리은행,단기대출,대출,기본,5개월 이상,2.55
우리은행,단기대출,대출,기본,6개월 이상,2.56
우리은행,단기대출,대출,기본,7개월이상,2.56
우리은행,단기대출,대출,기본,8개월이상,2.56
우리은행,고정금리대출,대출,기본,2개월미만,2.52
우리은행,고정금리대출,대출,기본,2개월이상,2.53
우리은행,고정금리대출,대출,기본,3개월이상,2.54
우리은행,고정금리대출,대출,기본,6개월이상,2.56
우리은행,고정금리대출,대출,기본,12개월이상,2.56
우리은행,고정금리대출,대출,기본,24개월이상,2.62
우리은행,고정금리대출,대출,기본,36개월이상,2.75
우리은행,고정금리대출,대출,기본,48개월이상,2.84
우리은행,고정금리대출,대출,기본,60개월이상,2.93
우리은행,고정금리대출,대출,기본,84개월이상,3.14
우리은행,고정금리대출,대출,기본,120개월이상,3.34
우리은행,고정금리대출,대출,기본,180개월,3.46
우리은행,고정금리대출,대출,기본,180개월초과,3.58
우리은행,변동금리부대출,대출,기본,3개월,2.54
우리은행,변동금리부대출,대출,기본,6개월,2.56
우리은행,변동금리부대출,대출,기본,1년,2.56
우리은행,변동금리부대출,대출,기본,2년,2.62
우리은행,변동금리부대출,대출,기본,3년,2.75
우리은행,변동금리부대출,대출,기본,5년,2.93
우리은행,CD연동대출,대출,기본,조건없음,2.54
우리은행,KORIBOR연동대출(3개월),대출,기본,조건없음,2.53
우리은행,P-Rate연동대출,대출,기본,조건없음,7.75
우리은행,P-Rate연동대출,대출,기본,조건없음,7.75
우리은행,P-Rate연동대출,대출,기본,조건없음,7.75
