chunk_id,doc_id,은행명,상품종류,상품이름,조항,조항이름,text,context
57,59,국민은행,대출,계좌간 자동이체 약관,12,계좌이동서비스,"① 계좌간자동이체는 계좌이동서비스 대상이며, 계좌이동서비스 이용약관을 준용합니다. ② 은행은 자동이체 통합관리시스템(www.payinfo.or.kr)에 자동이체 등록정보를 제공하여 조회 및 해지, 출금계좌 변경신청이 가능하도록 합니다. ③ 거래처는 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 계좌이동서비스를 신청할 수 있습니다. ④ 거래처가 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 자동이체출금계좌를 당행계좌로 변경 신청할 경우 타은행 출금 계좌에 등록되어 있는 자동이체 해지 후, 당행 출금계좌로 신규 등록됩니다.","국민은행 대출 계좌간 자동이체 약관 12 계좌이동서비스 ① 계좌간자동이체는 계좌이동서비스 대상이며, 계좌이동서비스 이용약관을 준용합니다. ② 은행은 자동이체 통합관리시스템(www.payinfo.or.kr)에 자동이체 등록정보를 제공하여 조회 및 해지, 출금계좌 변경신청이 가능하도록 합니다. ③ 거래처는 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 계좌이동서비스를 신청할 수 있습니다. ④ 거래처가 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr)에서 자동이체출금계좌를 당행계좌로 변경 신청할 경우 타은행 출금 계좌에 등록되어 있는 자동이체 해지 후, 당행 출금계좌로 신규 등록됩니다."
58,59,국민은행,대출,계좌간 자동이체 약관,13,약관의 변경,"① 은행이 이 약관을 변경하고자 할 경우, 은행은 변경예정일 직전 1개월간 영업점 및 은행인터넷 홈페이지에 변경내용을 게시합니다. ② 제1항의 변경내용이 거래처에게 불리한 경우 은행은 이를 서면, 전자우편 중 사전에 합의한 하나의 방법으로 변경 시행 전 최소 1개월 전까지 개별 통지하며, 사전에 합의한 방법이 없는 경우 은행에 신고된 주소 또는 전자우편주소로 개별 통지합니다. 다만, 기존 거래처에게 변경 전 내용이 그대로 적용되는 경우 또는 거래처가 변경내용에 대한 통지를 받지 아니하겠다는 의사를 명시적으로 표시한 경우에는 그러하지 않습니다. 거래처는 은행에 신고한 주소 및 전자우편주소 변경시 즉시 은행에 변경 신고하여야 하며, 변경 신고하지 아니함으로 인하여 통지를 받지 못한 경우 은행은 이에 대한 책임을 지지 않습니다. ③ 은행은 제2항의 통지를 할 경우 “거래처가 변경에 동의하지 아니한 경우 통지를 받은 날로부터 1개월 이내에 서면으로 계약을 해지할 수 있으며, 계약해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 본다.” 라는 취지의 내용을 통지하여야 합니다. ④ 거래처가 제2항 및 제3항의 통지를 받은날로부터 1개월 이내에 계약해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 봅니다. ⑤ 은행은 약관을 영업점에 비치 또는 게시하여 거래처가 요구할 경우 이를 교부하여야 합니다.","국민은행 대출 계좌간 자동이체 약관 13 약관의 변경 ① 은행이 이 약관을 변경하고자 할 경우, 은행은 변경예정일 직전 1개월간 영업점 및 은행인터넷 홈페이지에 변경내용을 게시합니다. ② 제1항의 변경내용이 거래처에게 불리한 경우 은행은 이를 서면, 전자우편 중 사전에 합의한 하나의 방법으로 변경 시행 전 최소 1개월 전까지 개별 통지하며, 사전에 합의한 방법이 없는 경우 은행에 신고된 주소 또는 전자우편주소로 개별 통지합니다. 다만, 기존 거래처에게 변경 전 내용이 그대로 적용되는 경우 또는 거래처가 변경내용에 대한 통지를 받지 아니하겠다는 의사를 명시적으로 표시한 경우에는 그러하지 않습니다. 거래처는 은행에 신고한 주소 및 전자우편주소 변경시 즉시 은행에 변경 신고하여야 하며, 변경 신고하지 아니함으로 인하여 통지를 받지 못한 경우 은행은 이에 대한 책임을 지지 않습니다. ③ 은행은 제2항의 통지를 할 경우 “거래처가 변경에 동의하지 아니한 경우 통지를 받은 날로부터 1개월 이내에 서면으로 계약을 해지할 수 있으며, 계약해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 본다.” 라는 취지의 내용을 통지하여야 합니다. ④ 거래처가 제2항 및 제3항의 통지를 받은날로부터 1개월 이내에 계약해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 봅니다. ⑤ 은행은 약관을 영업점에 비치 또는 게시하여 거래처가 요구할 경우 이를 교부하여야 합니다."
59,59,국민은행,대출,계좌간 자동이체 약관,14,준용,"① 계좌간자동이체 거래에는 이 약관 외에도 전자금융거래 기본약관이 적용되며, 규정된 내용이 서로 다른 경우 이 약관의 규정이 우선합니다. ② 이 약관과 전자금융거래 기본약관에 정하지 아니한 사항은 예금거래기본약관, 입출금이자유로운예금약관, 관련예금 및 신탁약관을 준용합니다","국민은행 대출 계좌간 자동이체 약관 14 준용 ① 계좌간자동이체 거래에는 이 약관 외에도 전자금융거래 기본약관이 적용되며, 규정된 내용이 서로 다른 경우 이 약관의 규정이 우선합니다. ② 이 약관과 전자금융거래 기본약관에 정하지 아니한 사항은 예금거래기본약관, 입출금이자유로운예금약관, 관련예금 및 신탁약관을 준용합니다"
1,60,국민은행,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,전문,전문,동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년월일채무자 : (인) 주소 : 채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.,국민은행 대출 고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서 전문 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년월일채무자 : (인) 주소 : 채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2,60,국민은행,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,1,목적,"이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)( 금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주","국민은행 대출 고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서 1 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)( 금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
3,60,국민은행,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,2,주택 추가 구입 금지의무,"채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역 투기과열지구 조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외","국민은행 대출 고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서 2 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역 투기과열지구 조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
4,60,국민은행,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,제2조,,를 위반한 경우에는 은행여신거래기본약관(가계용),국민은행 대출 고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서 제2조 를 위반한 경우에는 은행여신거래기본약관(가계용)
5,60,국민은행,대출,고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서,제7조,,"제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다.","국민은행 대출 고액 신용대출의 사후 용도관리 강화 관련 추가약정용 추가약정서 제7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
1,61,국민은행,대출,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,전문,전문,동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년월일채무자 : (인) 주소 : 채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.,국민은행 대출 고액신용대출의사후용도관리강화관련추가약정용 추가약정서 전문 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년월일채무자 : (인) 주소 : 채무자는 주식회사 국민은행(이하 “은행”이라 합니다.)과 약정한 20 년월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2,61,국민은행,대출,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,1,목적,"이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)( 금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주","국민은행 대출 고액신용대출의사후용도관리강화관련추가약정용 추가약정서 1 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)( 금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
