은행명,상품명,종류,상세종류,대출대상,대출조건,대출기간,대출한도
우리은행,우리 사잇돌 중금리대출,대출,신용대출,개인사업자,서울보증보험증권 발급 가능 개인 및 개인사업자,5년,2천만원
우리은행,우리 새희망홀씨(스마트),대출,신용대출,개인사업자,개인사업자,7년,3천5백만원
우리은행,우리 전문직우대 대출(의사),대출,신용대출,전문직,의사 면허증 보유자,5년,5억원
우리은행,우리 전문직우대 대출(법조인),대출,신용대출,전문직,법조인 자격증 보유자,5년,4억년
우리은행,우리 전문직우대 대출(전문직),대출,신용대출,전문직,전문 자격증 보유자,5년,3억원
우리은행,예금담보대출,대출,신용대출,개인사업자,우리은행 예금 적금 신탁을 가입한 개인 및 개인 사업자,제한없음,1억원
우리은행,주택청약(종합)저축 담보대출,대출,신용대출,개인사업자,우리은행 예금 적금 신탁을 가입한 개인 및 개인 사업자,1년,1억원
우리은행,우량협약기업 임직원신용대출(PPL),대출,신용대출,임직원,우리은행과 협약을 통해 선정한 기업체 또는 공공기관에 재직하고 있는 임직원,10년,3억원
우리은행,스마트징검다리론,대출,신용대출,분양계약자,입주자모집공고에 따른 계약금을 지급한 분양계약자,시공사 재량,분양가 60%
우리은행,버팀목 전세자금,대출,신용대출,부부,"부부합산 자산기준 3.37억원 이하인 고객 자산기준(부동산 자동차 금융자산 일반자산) -(금융부채 일반부채) 대출신청일 현재 세대주로서 대출대상주택에 전(월)세계약을 체결하고 전(월)세보증금의 5%이상을 지불한 근로자 및 서민으로 다음 각호의 요건을 모두 구비한 고객 대출신청일 현재 만 19세 이상인 세대주 및 세대주예정자(대출실행일로부터 1개월이내에 세대분가 또는 합가로 인하여 세대주로 예정된 자) 또는 세대주로 인정되는 고객 대출신청일 현재 세대주(예정자)로서 세대주를 포함한 세대원(예정자) 전원이 무주택인 고객 최근년도 또는 최근 1년간 부부합산 총소득이 5천만원이하인 고객 - 다자녀 2자녀 가구의 경우 6천만원, 신혼가구의 경우 7.5천만원 이하인 고객 - 타 지역으로 이주하는 재개발 구역내 세입자인 경우 6천만원 이하인 고객 부부합산 총소득은 차주 및 배우자(결혼예정자 포함)의 근로소득(상여금 및 수당포함) 및 사업소득의 자료를 제출",2년,전세금 70%
우리은행,산재근로자 참사랑대출,대출,신용대출,근로소득자,근로복지공단(융자결정기관)의 대출승인통보를 받은 고객,3년,융자결정기관 결정
우리은행,우리 지역선도기업 대출,대출,기업대출,기업,우리은행 내부 신용등급 BBB0(SOHO 4)등급 이상 비수도권 소재 기업,20년,제한없음
우리은행,우리 WON하는 군인대출,대출,신용대출,군인,"직업군인, 군무원",10년,3억원
우리은행,서울특별시 안심통장 보증서 대출,대출,신용대출,소상공인,서울신용보증재단으로부터 안심통장 보증승인이 완료된 서울시 소재 중소기업 및 소상공인,1년,1천만원
우리은행,서울특별시 안심통장 보증서 대출,대출,신용대출,기업,서울신용보증재단으로부터 안심통장 보증승인이 완료된 서울시 소재 중소기업 및 소상공인,1년,1천만원
우리은행,우리WON입주자금대출,대출,부동산대출,분양계약자,분양 계약금을 지급한 분양계약자(배우자와 공동명의 포함),40년,유효담보가액 범위
우리은행,폐업지원 대환 보증서대출,대출,정책자금대출,폐업,정상 상환중인 보증서담보부 기업대출을 보유한 폐업예정자 및 기폐업자,15년,1억원
우리은행,폐업지원 대환 신용대출,대출,정책자금대출,폐업,정상 상환중인 기업신용대출을 보유한 폐업예정자 및 기폐업자,30년,1억원
우리은행,폐업지원 대환 신용대출,대출,정책자금대출,폐업,정상 상환중인 기업신용대출을 보유한 폐업예정자 및 기폐업자,10년,1억원 이상
우리은행,우리 성장산업 수출입 패키지,대출,기업대출,개인사업자,"아래 조건을 모두 충족하는 기업 가입 가능(중소, 개인사업자 포함) 순신규 고객(직전 반기 시작일부터 대출 신청일까지 당행 수출입금융 실적 수출입여신한도 미보유) 당행 BRR 등급 BBB 이상 매년 지정되는 타겟산업 기업(첨단산업 기업, 우량 수출입기업)",5년,1억원
우리은행,우리CUBE 데이터론,대출,기업대출,기업,원비즈 e-MP 서비스를 이용하는 구매기업(우리은행 내부등급 BRR BBB0 등급 이상)의 추천을 받은 판매기업(기업 및 개인사업자),1년,제한없음
우리은행,우리CUBE 데이터론,대출,기업대출,개인사업자,원비즈 e-MP 서비스를 이용하는 구매기업(우리은행 내부등급 BRR BBB0 등급 이상)의 추천을 받은 판매기업(기업 및 개인사업자),1년,제한없음
우리은행,우리 우월한 시니어 대출,대출,신용대출,근로소득자,만 50세 이상 근로소득자 및 공적연금수급자,10년,1억원
우리은행,우리 햇살론119,대출,신용대출,개인사업자,개인사업자대출 119프로그램 또는 맞춤형 채무조정(소상공인 119Plus) 을 3개월이상 이용 중이고 연매출 3억원 이하 현재 연체 중이지 않은 개인사업자,5년,2천만원
우리은행,폐업지원 대환 담보대출,대출,부동산대출,폐업,정상 상환중인 기업대출을 보유한 폐업(예정) 개인사업자,30년,상환예정 대출 잔액 범위
우리은행,우리 플랫폼 WON주택대출,대출,부동산대출,근로소득자,근로소득자(현직장 3개월 이상 재직),40년,10억원
우리은행,우리 플랫폼 WON주택대출,대출,부동산대출,개인사업자,개인사업자(1년 이상 사업 영위),40년,10억원
우리은행,소상공인 2차 금융지원 대환대출(수탁보증),대출,신용대출,소상공인,소상공인 2차 금융지원대출 보유 고객,5년,기존 대출 금액 범위
우리은행,소상공인 2차 금융지원 대환대출(수탁보증),대출,기업대출,소상공인,소상공인 2차 금융지원대출 보유 고객,5년,기존 대출 금액 범위
우리은행,소상공인 2차 금융지원 대환대출(수탁보증),대출,정책자금대출,소상공인,소상공인 2차 금융지원대출 보유 고객,5년,기존 대출 금액 범위
우리은행,소상공인 2차 금융지원 대환대출(수탁보증),대출,신용대출,소상공인,소상공인 2차 금융지원대출 보유 고객,5년,기존 대출 금액 범위
우리은행,우리 사장님 대출,대출,신용대출,개인사업자,우리은행 내부 신용등급 BBB-(SOHO 5)등급 이상 개인사업자,20년,제한없음
우리은행,우리WON주택대출(오피스텔-갈아타기),대출,부동산대출,근로소득자,근로소득자(현직장 3개월 이상 재직),30년,10억원
우리은행,우리WON주택대출(오피스텔-갈아타기),대출,부동산대출,개인사업자,개인사업자(1년 이상 사업 영위),30년,10억원
우리은행,원비즈 데이터론,대출,기업대출,기업,원비즈플라자를 이용하는 구매기업(우리은행 내부등급 BRR BBB 등급 이상)의 추천을 받고 판매기업(기업 및 개인사업자),5년,제한없음
우리은행,원비즈 데이터론,대출,기업대출,개인사업자,원비즈플라자를 이용하는 구매기업(우리은행 내부등급 BRR BBB 등급 이상)의 추천을 받고 판매기업(기업 및 개인사업자),5년,제한없음
우리은행,우리 햇살론15(서민금융진흥원),대출,신용대출,개인,서민금융진흥원 햇살론15 신용보증서 발급 고객,5년,2천만원
우리은행,WON Easy 생활비대출,대출,신용대출,개인,KCB추정소득을 보유한 고객,1년,2천만원
우리은행,우리 메디플러스론,대출,신용대출,전문직,병 의원 및 약국을 운영하는 의 약사 개인사업자,5년,5억원
우리은행,우리 메디플러스론,대출,신용대출,전문직,병 의원 및 약국을 운영하는 의 약사 개인사업자,5년,5억원
우리은행,우리 이지원 비대면 보증서 대출,대출,신용대출,개인사업자,업력 1년이상 개인사업자,3년,1억원
