chunk_id,doc_id,문서명,은행명,상품종류,상품이름,조항,조항이름,조항내용
1,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 1조,약관의 적용,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 1조 조항이름: 약관의 적용 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 1조 조항이름: 약관의 적용 ① 청년 주택드림 청약통장(이하 이 저축이라 한다) 거래는 이 약관 및 예금거래 기본약관, 적립식예금약관을 적용합니다. ② 제1항의 약관에서 정하지 않은 사항은 주택도시기금법, 주택공급에 관한 규칙, 조세특례제한법, 소득세법, 국고금 관리법, 주택청약종합저축을 해지하는 경우의 이자율 고시및 주택도시기금포탈 (nhuf.molit.go.kr) 의 청년 주택드림 청약통장 안내페이지에 제공된 청년 주택드림 청약통장 가이드라인에서 정한 바에 따릅니다. 고객 요청 시 청년 주택드림 청약통장 가이드라인은 영업점 창구에서도 제공합니다. ③ 기존 청년우대형 주택청약종합저축을 가입한 고객의 경우 이 저축으로 전환되며 전환일로부터 이 저축 약관의 내용을 동일하게 적용받습니다."
2,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 2조,가입대상,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 2조 조항이름: 가입대상 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 2조 조항이름: 가입대상 ① 이 저축의 가입대상은 만19세 이상 만34세 이하의 주택을 소유하지 않은 무주택 거주자로서 다음 각 호의 요건 중 어느 하나를 충족하여야 합니다. 1. 직전년도의 소득세법 상 종합소득(이자소득,배당소득,연금소득은 제외)이 5천만원 이하이고 소득세 신고 납부 이행이 증빙된 고객. 단, 직전년도의 소득서류가 확정되지 않은 기간에 가입하는 경우 전전년도의 소득을 인정합니다. 2. 직전년도 또는 가입연도의 소득증빙기간이 1년 미만인 근로소득자로 소득기간이 표시된 경우 총수입금액을 연환산한 금액이 5천만원 이하인 고객 3. 직전 과세기간(직전 과세기간의 소득서류가 확정되지 않은 기간에 가입하는 경우 전전년도를 포함) 비과세 소득만 있는 자 중 다음 각 목에 해당하는 자 가. 현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체 복무요원 등(이하 현역병 등이라 한다) 나. 현역병 등으로서 복무를 마친 자. 단, 직전 과세기간 중 복무한 기간이 1일 이상 반드시 포함되어야 합니다. ② 이 저축의 가입시점에 가입대상의 재직기간 및 재직여부 또는 사업 영위 여부는 별도로 확인하지 않습니다. ③ 이 저축의 가입은 청약저축, 청약예금, 청약부금 및 주택청약종합저축을 포함하여 전 금융기관 1인 1계좌에 한합니다."
3,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 3조,납입기간,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 3조 조항이름: 납입기간 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 3조 조항이름: 납입기간 ① 이 저축의 납입기간은 따로 정하지 않습니다. ② 국민주택(분양전환되지 않는 임대주택은 제외)과 민영주택의 입주자로 당첨된 계좌의 경우에도 추가입금이 가능하나, 해당 계좌의 청약권은 소멸됩니다."
4,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 4조,월 납입금,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 4조 조항이름: 월 납입금 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 4조 조항이름: 월 납입금 이 저축의 월 납입금은 매월 약정 납입일에 2만원 이상 100만원 이하로 합니다. 다만, 월 납입금의 총액이주택공급에 관한 규칙에서 정한 민영주택 청약 예치기준금액의 최대 한도인 1,500만원에 이를 때까지는 100만원을 초과하여 납입할 수 있습니다."
5,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 5조,이자 등,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 5조 조항이름: 이자 등 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 5조 조항이름: 이자 등 ① 이 저축의 이자는 입금한 월 납입금에 대하여 입금일부터 일부인출 또는 해지일 전일까지의 실예치일수에 관계 법령에서 정하는 이율을 적용하여 원금과 함께 지급합니다. ② 이 저축은 만기가 없는 상품으로서 중도해지이율 및 만기후이율은 적용하지 않습니다. ③ 가입일부터 1개월 이내에 이 저축을 해지하는 경우에는 이자를 지급하지 아니합니다. ④ 청년우대형 주택청약종합저축 가입자 중 주택을 소유하지 않은 자로서 가입일 로부터 3년 이내 세대주가 될 예정자로 가입한 고객의 경우, 저축 해지 전까지 가입자 본인이 가입일로부터 3년 이내 3개월 이상 연속하여 세대주임을 입증 시, 청년우대형 주택청약종합저축 가입기간 동안 청년우대형 주택청약종합저축 우대이율이 적용 가능합니다."
6,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 6조,지급시기 및 지급방법,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 6조 조항이름: 지급시기 및 지급방법 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 6조 조항이름: 지급시기 및 지급방법 ① 이 저축의 원금 및 이자는 가입자가 이 저축을 일부인출 또는 해지할 때 일시에 지급합니다. ② 이 저축을 사용하여 청약당첨된 경우 계약금 납부목적에 한해 1회 일부인출이 가능하며, 제5조 제1항에 따라 계산된 이자를 일부인출 원금과 함께 지급합니다. 단, 이 저축으로 전환되기 전 청약하여 당첨된 기존 청년우대형 주택청약 종합저축 가입자는 일부인출이 불가합니다. ③ 일부인출 시에는 소득공제 추징 예상 금액을 제외한 범위(단, 추징 예상 금액이 없을 경우, 마지막 회차를 제외한 범위)내에서 입금회차별 선입선출방식(회차내 금액 분할 불가)을 적용하여 지급합니다."
7,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 7조,전환신규,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 7조 조항이름: 전환신규 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 7조 조항이름: 전환신규 기존 주택청약종합저축을 보유한 고객이 제2조의 가입자격을 갖춘 경우 이 저축으로 전환신규가 가능하며, 기존 주택청약종합저축의 납입 인정된 횟수와 금액을 인정합니다."
8,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 8조,계좌부활,"은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 8조 조항이름: 계좌부활 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 8조 조항이름: 계좌부활 이 저축을 사용하여 당첨자로 선정되어 해약한 자가 사업주체의 파산으로 당해 주택에 입주할 수 없게 될 경우 등주택공급에 관한 규칙에서 정한 부활사유에 해당하는 경우, 이 저축이 아닌 기존 주택청약종합저축으로 부활할 수 있습니다."
9,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 9조,소득공제,은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 9조 조항이름: 소득공제 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 9조 조항이름: 소득공제 이 저축은 소득공제 가능한 상품으로조세특례제한법제87조에서 정한 요건에 해당하는 경우 소득공제 받으실 수 있습니다.
10,DOC_00001,청년 주택드림 청약통장약관,국민은행,적금,청년주택드림청약통장,제 10조,양도 및 질권설정,은행명: 국민은행 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 10조 조항이름: 양도 및 질권설정 은행명: KBbank 상품종류: 적금 상품이름: 청년주택드림청약통장 조항: 제 10조 조항이름: 양도 및 질권설정 이 저축은 양도하거나 제3자 담보제공을 위한 질권설정을 할 수 없습니다.
